palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
adelantar,22,3,broker,0.72,-0.5247,5
sucursal,22,13,periferico,0.0,-0.3922,2
multiple,22,9,periferico,0.0,-0.4082,1
trejo,22,3,periferico,0.4444,-0.5247,3
web,22,5,periferico,0.0,-1.1315,1
contemporaneo,22,4,broker,0.5,-1.1895,2
anfitrion,22,6,broker,0.5,-1.3339,2
enfocado,22,3,periferico,0.0,-1.431,1
alvaro,22,9,broker,0.5,-0.4082,2
reubicar,22,3,periferico,0.0,-0.9779,1
estarer,22,6,broker,0.5,-0.7882,2
locatario,19,6,broker,0.5,-0.4082,2
mercado,19,6,broker,0.8696,2.4495,23
descuento,19,1,broker,0.8265,0.5345,14
predial,19,1,periferico,0.0,1.3363,5
america,19,5,conector_provincial,0.8736,2.6099,25
latina,19,5,broker,0.5,-0.4808,2
aprovechar,19,1,broker,0.8089,0.5345,15
parque,19,2,broker,0.5455,1.8371,11
sumar,19,2,broker,0.8061,0.8165,14
casco,19,10,broker,0.5,-0.4472,2
moto,19,10,broker,0.75,-0.4472,4
protesta,19,0,broker,0.7778,-0.9915,6
toma,19,0,broker,0.75,0.2916,8
tour,19,7,periferico,0.375,0.4851,4
venta,19,7,broker,0.8264,-0.2425,11
diciembre,19,7,broker,0.858,1.9403,18
manifestacion,19,7,broker,0.84,-0.9701,10
dato,19,0,broker,0.8148,2.2162,18
ine,19,0,periferico,0.0,0.9331,4
elegir,19,10,broker,0.84,2.2361,10
infantil,19,2,broker,0.5679,0.8165,9
corriente,19,1,broker,0.56,-0.2673,5
puntilla,19,6,periferico,0.0,-0.4082,1
concepcion,19,3,periferico,0.0,-0.3297,1
inmaculada,19,3,periferico,0.0,-0.3297,1
agredir,19,4,conector_provincial,0.4298,2.9277,11
agresor,19,4,broker,0.625,0.0,4
mariana,19,8,periferico,0.375,1.3339,4
sandra,19,8,periferico,0.375,1.3339,4
alvarez,19,9,broker,0.5926,1.1043,9
definitivo,19,7,broker,0.5,-0.9701,2
habito,19,3,periferico,0.0,-0.3297,1
lectura,19,3,broker,0.5,-0.3297,2
eleccion,19,0,broker,0.8533,0.9331,15
tabasco,19,0,broker,0.8642,-0.3499,9
juegos,19,2,broker,0.5,-0.7144,4
recargo,19,1,periferico,0.0,-0.2673,3
melanie,19,4,periferico,0.0,-0.488,1
jugar,19,2,broker,0.8178,0.8165,15
cobarde,19,4,broker,0.8333,0.0,12
joaquin,19,2,periferico,0.4444,-0.7144,3
creador,19,4,broker,0.5,-0.488,2
valentina,19,5,periferico,0.375,0.7555,4
colegio,19,5,periferico,0.0,-0.4808,1
abelardo,19,3,periferico,0.0,-0.3297,1
museo,19,3,broker,0.56,1.6485,5
famoso,19,3,broker,0.7188,1.6485,8
hello,19,11,periferico,0.0,0.0,1
prospero,19,11,periferico,0.0,1.4142,2
fuente,19,0,broker,0.64,-0.3499,5
responsabilidad,19,10,broker,0.8757,-0.4472,13
magica,19,7,periferico,0.0,-0.2425,2
victoria,19,8,broker,0.6939,1.3339,7
pleno,19,4,broker,0.625,-0.488,4
impresionante,19,6,periferico,0.0,-0.4082,1
pase,19,11,broker,0.5,0.0,2
categoria,19,9,periferico,0.4444,1.1043,6
premiar,19,9,periferico,0.0,-0.4417,2
javier,19,9,broker,0.6122,1.1043,7
gerardo,19,0,periferico,0.0,0.2916,3
manita,19,2,periferico,0.0,-1.2247,1
jimenez,19,8,broker,0.64,0.2425,5
mari,19,8,periferico,0.0,-0.8489,1
terrible,19,5,broker,0.5,-0.4808,2
hermandad,19,3,periferico,0.0,1.6485,3
rogar,19,3,broker,0.5,-0.3297,2
ejecucion,19,5,broker,0.6667,-0.4808,3
gentuza,19,4,periferico,0.0,-0.488,1
designacion,19,6,broker,0.5,-0.4082,2
dominicana,19,4,periferico,0.4444,0.0,3
mono,19,3,periferico,0.0,-0.3297,1
obligacion,19,10,broker,0.6667,-0.4472,3
firma,19,11,broker,0.6667,-1.4142,3
edil,19,6,periferico,0.0,-0.4082,1
cfe,19,3,periferico,0.0,0.6594,2
ntra,19,3,periferico,0.0,0.6594,2
marcos,19,5,broker,0.5,-0.4808,2
ayala,19,9,periferico,0.0,-0.4417,2
estadistica,19,10,broker,0.5,-0.4472,2
infinidad,19,4,periferico,0.0,-0.488,1
pato,19,2,periferico,0.4444,-0.7144,3
recuperado,19,2,periferico,0.32,0.3062,5
caravana,19,8,periferico,0.0,-0.8489,1
lucir,19,2,broker,0.5,-1.2247,2
ponte,19,1,broker,0.5,-1.8708,2
indignante,19,4,periferico,0.4444,-0.488,3
semilla,19,3,periferico,0.0,-1.3188,1
gira,19,9,broker,0.6667,-1.2147,3
latinoamericano,19,5,periferico,0.0,-0.4808,1
minoria,19,0,periferico,0.0,-0.9915,1
tuit,19,0,periferico,0.0,-0.9915,1
lealtad,19,3,periferico,0.0,-1.3188,1
benavides,19,0,broker,0.5,-0.9915,2
interior,19,6,broker,0.5,-0.4082,2
vino,19,3,periferico,0.0,-1.3188,1
castillo,19,8,broker,0.5,-0.8489,2
dorado,19,8,periferico,0.0,-0.8489,1
lourdes,19,8,periferico,0.0,-0.8489,1
stop,19,5,periferico,0.0,-0.4808,1
prever,19,9,periferico,0.0,-1.2147,1
guadalupe,4,0,broker,0.8521,1.1783,26
virgen,4,0,broker,0.7701,1.1783,19
santa,4,7,broker,0.8999,1.0,33
semana,4,7,broker,0.9223,1.0,52
