node_id,tipo_nodo,etiqueta,categoria_principal,confianza_categoria,categorias,polaridad,polaridad_score,postura,postura_etiqueta,postura_score,coincidencias_positivas,coincidencias_negativas,peso_coincidente
A1218,cuenta,Twitter::JorgeECastilloL,Corrupcion,0.8746,Corrupcion,negativa,-0.3333,critica_oposicion,Crítica/oposición,-0.3333,2.0,4.0,6.0
A1219,cuenta,YouTube::@josecarlosibarraramos4379,,0.0,,negativa,-0.3333,critica_oposicion,Crítica/oposición,-0.3333,4.0,8.0,12.0
A1220,cuenta,YouTube::@MarMar-pb8ht,Obras,0.9367,Obras,positiva,0.2727,apoyo_defensa,Apoyo/defensa,0.2727,7.0,4.0,11.0
A1221,cuenta,YouTube::@genesisaviles637,Basura,1.0,Basura | Morena | Corrupcion | Prevencion,negativa,-0.2,critica_oposicion,Crítica/oposición,-0.2,8.0,12.0,21.0
A1222,cuenta,YouTube::@Foxtrok1749,Delitos,0.8977,Delitos,mixta,-0.1429,mixta_disputa,Mixta/disputa,-0.1429,3.0,4.0,8.0
A1223,cuenta,YouTube::@darioguillermoantoniocasan2794,,0.0,,positiva,0.4286,apoyo_defensa,Apoyo/defensa,0.4286,5.0,2.0,7.0
A1224,cuenta,YouTube::@A1210-o2e,Corrupcion,0.945,Corrupcion | Delitos,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,4.0,4.0,8.0
A1225,cuenta,YouTube::@alexisrodrigolopez7160,Morena,0.9435,Morena,positiva,0.3333,apoyo_defensa,Apoyo/defensa,0.3333,4.0,2.0,6.0
A1226,cuenta,Twitter::NandoBastias,Prevencion,1.0,Prevencion,negativa,-0.4286,critica_oposicion,Crítica/oposición,-0.4286,2.0,5.0,8.0
A1227,cuenta,YouTube::@EddieXVIII,Obras,0.8319,Obras,negativa,-0.3333,critica_oposicion,Crítica/oposición,-0.3333,1.0,2.0,4.0
A1228,cuenta,YouTube::@0hhanimarquez542,Prevencion,0.8444,Prevencion,positiva,0.5,apoyo_defensa,Apoyo/defensa,0.5,3.0,1.0,5.0
A1229,cuenta,YouTube::@adrianacamilaguzman601,,0.0,,positiva,0.2,apoyo_defensa,Apoyo/defensa,0.2,3.0,2.0,5.0
A1230,cuenta,YouTube::@anelreina9653,Vialidad,0.9208,Vialidad,negativa,-0.2,critica_oposicion,Crítica/oposición,-0.2,2.0,3.0,6.0
A1231,cuenta,YouTube::@Gaald7,,0.0,,negativa,-0.2,critica_oposicion,Crítica/oposición,-0.2,2.0,3.0,5.0
A1232,cuenta,YouTube::@LokoD110,Delitos,0.8977,Delitos,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,2.0,2.0,5.0
A1233,cuenta,YouTube::@MaraLongoria,Morena,0.7285,Morena,negativa,-0.4286,critica_oposicion,Crítica/oposición,-0.4286,2.0,5.0,7.0
A1234,cuenta,YouTube::@SupaRene,Delitos,0.9698,Delitos,negativa,-0.2,critica_oposicion,Crítica/oposición,-0.2,2.0,3.0,5.0
A1235,cuenta,YouTube::@marcosd1114,Delitos,0.9905,Delitos,negativa,-0.2,critica_oposicion,Crítica/oposición,-0.2,2.0,3.0,7.0
A1236,cuenta,YouTube::@lxixvanilla,Basura,0.7192,Basura,negativa,-0.5,critica_oposicion,Crítica/oposición,-0.5,1.0,3.0,4.0
A1237,cuenta,Twitter::DeportColombia,Obras,0.7896,Obras | Corrupcion,positiva,0.4286,apoyo_defensa,Apoyo/defensa,0.4286,15.0,6.0,21.0
A1238,cuenta,YouTube::@ANARAMIREZ-wp1bs,Alumbrado,1.0,Alumbrado | Delitos | Obras | Prevencion | Corrupcion,positiva,0.2,apoyo_defensa,Apoyo/defensa,0.2,12.0,8.0,22.0
A1239,cuenta,YouTube::@juanescobedo7303,,0.0,,negativa,-0.3333,critica_oposicion,Crítica/oposición,-0.3333,3.0,6.0,9.0
A1240,cuenta,Twitter::TIMWrestling,,0.0,,mixta,0.1429,mixta_disputa,Mixta/disputa,0.1429,8.0,6.0,14.0
A1241,cuenta,YouTube::@rubenlopez8083,Prevencion,0.6303,Prevencion,negativa,-0.2727,critica_oposicion,Crítica/oposición,-0.2727,4.0,7.0,12.0
A1242,cuenta,YouTube::@agus67,Morena,1.0,Morena | Corrupcion | Delitos,negativa,-0.4286,critica_oposicion,Crítica/oposición,-0.4286,2.0,5.0,17.0
A1243,cuenta,Twitter::@SoldeYucatan,Obras,0.8917,Obras,negativa,-0.6667,critica_oposicion,Crítica/oposición,-0.6667,1.0,5.0,7.0
A1244,cuenta,YouTube::@javierhernandezbonilla2165,Morena,0.8746,Morena,positiva,0.3333,apoyo_defensa,Apoyo/defensa,0.3333,2.0,1.0,5.0
A1245,cuenta,YouTube::@AlbertoMendoza-b6k,,0.0,,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,2.0,2.0
A1246,cuenta,Twitter::todomenosfut,,0.0,,positiva,0.6,apoyo_defensa,Apoyo/defensa,0.6,4.0,1.0,5.0
A1247,cuenta,YouTube::@robertoticas8976,Delitos,0.9698,Delitos,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,2.0,2.0,4.0
A1248,cuenta,Twitter::DataDanna,,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,5.0,0.0,5.0
A1249,cuenta,Twitter::@30minutos1,Morena,0.6747,Morena,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,2.0,3.0
A1250,cuenta,Twitter::AnaWhiteCh,,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,4.0,0.0,4.0
A1251,cuenta,Twitter::@EspacioNoticias,Obras,0.9454,Obras | Basura | Morena | Prevencion,positiva,0.6,apoyo_defensa,Apoyo/defensa,0.6,12.0,3.0,22.0
A1252,cuenta,Twitter::@MMestizaje,Obras,0.8486,Obras | Alumbrado,positiva,0.5556,apoyo_defensa,Apoyo/defensa,0.5556,7.0,2.0,12.0
A1253,cuenta,Twitter::@ElMomentoOfic,Obras,0.9023,Obras,positiva,0.6,apoyo_defensa,Apoyo/defensa,0.6,8.0,2.0,10.0
A1254,cuenta,Twitter::@infoturquesa,Prevencion,0.9474,Prevencion | Obras | Corrupcion,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,8.0,0.0,10.0
A1255,cuenta,Twitter::@AztecaQRoo,Prevencion,0.9474,Prevencion | Obras | Agua | Vialidad | Basura,positiva,0.6,apoyo_defensa,Apoyo/defensa,0.6,4.0,1.0,8.0
A1256,cuenta,Twitter::@drvnoticias,Obras,0.941,Obras | Prevencion | Vialidad | Morena,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,5.0
A1257,cuenta,Twitter::@c_viralcancun,Prevencion,0.8444,Prevencion | Obras,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,4.0
A1258,cuenta,Twitter::@grupo_origen,Morena,1.0,Morena,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,3.0
A1259,cuenta,YouTube::@MiguelJimenez-ij9by,Corrupcion,0.9123,Corrupcion,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,77.0,77.0
A1260,cuenta,Facebook::Irma Robledo Hernandez,Americo,0.9807,Americo | Morena,positiva,0.8571,apoyo_defensa,Apoyo/defensa,0.8571,13.0,1.0,19.0
A1261,cuenta,YouTube::@SalvadorMendo,Morena,0.9712,Morena | Obras,positiva,0.6296,apoyo_defensa,Apoyo/defensa,0.6296,22.0,5.0,38.0
A1262,cuenta,YouTube::@rosafelix1421,Morena,1.0,Morena | Corrupcion | Delitos,mixta,-0.0833,mixta_disputa,Mixta/disputa,-0.0833,11.0,13.0,31.0
A1263,cuenta,YouTube::@EnriqueGmz-p3k,Morena,1.0,Morena | Americo | Obras,positiva,0.8095,apoyo_defensa,Apoyo/defensa,0.8095,19.0,2.0,40.0
A1264,cuenta,YouTube::@unvideojuegito6366,Corrupcion,0.9123,Corrupcion | Prevencion,negativa,-0.4286,critica_oposicion,Crítica/oposición,-0.4286,4.0,10.0,15.0
A1265,cuenta,YouTube::@pablorobertolopezpalacios3986,Corrupcion,0.8718,Corrupcion | Delitos | Morena,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,1.0,1.0,5.0
A1266,cuenta,YouTube::@patibonola3186,Corrupcion,0.996,Corrupcion | Vialidad,negativa,-0.4815,critica_oposicion,Crítica/oposición,-0.4815,7.0,20.0,28.0
A1267,cuenta,YouTube::@ER-xi8ig,Corrupcion,0.9177,Corrupcion,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,7.0,8.0
A1268,cuenta,YouTube::@aliciamartinezcordero7159,,0.0,,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,2.0,2.0
A1269,cuenta,YouTube::@GINAGAMA,Obras,0.6833,Obras,positiva,0.2,apoyo_defensa,Apoyo/defensa,0.2,6.0,4.0,11.0
A1270,cuenta,YouTube::@CarolinaGarulo,Morena,0.9712,Morena | Delitos,negativa,-0.6,critica_oposicion,Crítica/oposición,-0.6,1.0,4.0,11.0
A1271,cuenta,YouTube::@DoloresMarinHernandez,Morena,0.9712,Morena | Corrupcion | Obras,mixta,-0.0667,mixta_disputa,Mixta/disputa,-0.0667,7.0,8.0,19.0
A1272,cuenta,YouTube::@kitygodoy-k3p,Morena,0.7653,Morena,mixta,0.1429,mixta_disputa,Mixta/disputa,0.1429,8.0,6.0,15.0
A1273,cuenta,YouTube::@leticiaislas6875,Morena,0.7653,Morena | Corrupcion,negativa,-0.25,critica_oposicion,Crítica/oposición,-0.25,3.0,5.0,13.0
A1274,cuenta,YouTube::@manuelcervanteslara6210,,0.0,,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,1.0,1.0
A1275,cuenta,YouTube::@josecalebnoticiasmundiales,,0.0,,positiva,0.5,apoyo_defensa,Apoyo/defensa,0.5,3.0,1.0,4.0
A1276,cuenta,YouTube::@Tauro61,Agua,0.8716,Agua,mixta,0.1111,mixta_disputa,Mixta/disputa,0.1111,5.0,4.0,10.0
A1277,cuenta,YouTube::@m.isabelmorenomendoza9358,Morena,0.9712,Morena | Basura,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,1.0,1.0,11.0
A1278,cuenta,YouTube::@rubenhernandez8551,Morena,1.0,Morena,neutral,0.0,sin_postura,Sin postura,0.0,0.0,0.0,8.0
A1279,cuenta,YouTube::@martinbernardo2229,Morena,1.0,Morena,neutral,0.0,sin_postura,Sin postura,0.0,0.0,0.0,4.0
A1280,cuenta,YouTube::@mariaeldagarcialira355,Morena,1.0,Morena | Obras | Prevencion,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,2.0,2.0,10.0
A1281,cuenta,YouTube::@alfonsogonzalez863,Morena,1.0,Morena | Corrupcion | Delitos,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,2.0,2.0,8.0
