de_tema,a_tema,termino_interno,termino_externo,weight
4,15,comenzar,lunes,5
4,16,guardia,seguridad,8
4,16,buscar,participar,8
4,16,talento,participar,6
4,17,guardia,estatal,14
4,17,buscar,estatal,6
4,17,quedar,mundo,5
4,18,buscar,ciudad,7
4,18,talento,ciudad,5
4,19,comenzar,dia,9
4,19,casa,naturaleza,8
4,19,guardia,mauricio,6
4,20,comenzar,llegar,6
4,20,combustible,tanque,6
4,20,comenzar,vivienda,6
4,21,comenzar,institucion,6
4,21,buscar,disciplina,6
4,21,quedar,gente,5
4,22,buscar,presidenta,8
4,22,comenzar,semana,5
4,22,quedar,grande,5
4,23,buscar,espacio,11
4,23,empresa,fortalecer,10
4,23,quedar,vida,8
4,24,buscar,joven,11
4,24,buscar,general,9
4,24,buscar,persona,9
4,25,buscar,caso,8
4,25,comenzar,caso,7
4,25,ortega,jorge,6
5,0,morena,viva,13
5,0,pais,tampico,13
5,0,hablar,tampico,12
5,1,querer,justicia,14
5,1,detener,dafne,13
5,1,querer,gobernador,13
5,2,pais,mexico,30
5,2,morena,mexico,19
5,2,huachicol,fiscal,12
5,3,narco,garcia,8
5,4,deber,buscar,8
5,4,pais,buscar,8
5,4,deber,quedar,6
5,7,pais,millon,8
5,7,corrupto,millon,7
5,7,pais,natural,7
5,9,pasar,ano,19
5,9,pais,ano,12
5,9,huachicol,refineria,12
5,10,pais,tamaulipas,18
5,10,pasar,tamaulipas,15
5,10,querer,tamaulipas,13
5,11,pais,turistico,7
5,12,pais,nacional,13
5,12,deber,cualquiera,9
5,12,pais,unidos,8
5,14,deber,gobierno,13
5,14,pasar,gobierno,13
5,14,querer,gobierno,10
5,15,pais,mexicano,10
5,16,deber,autoridad,9
5,16,pais,delito,7
5,16,querer,autoridad,6
5,17,narco,luna,8
5,17,deber,electoral,7
5,17,deber,estatal,6
5,18,pais,ciudad,7
5,19,pasar,via,11
5,19,pais,lograr,7
5,19,pasar,dia,6
5,21,deber,investigar,11
5,21,querer,gente,11
5,21,morena,marina,9
5,22,morena,politico,13
5,22,hijo,padre,12
5,22,deber,presidenta,9
5,23,pais,entidad,12
5,23,pais,internacional,8
5,23,pais,fortalecer,8
5,24,deber,fiscalia,8
5,24,nina,joven,8
5,24,narco,prueba,8
5,25,deber,caso,16
5,25,deber,escuela,14
5,25,nina,escuela,10
6,0,orgullo,tampico,19
6,0,resultado,tampico,16
6,0,representar,tampico,15
6,1,productor,sorgo,9
6,1,esfuerzo,familia,7
6,1,reconocer,familia,7
6,2,estrategia,mexico,10
6,2,enfrentar,mexico,8
6,2,representar,mexico,8
6,4,acuerdo,basico,5
6,5,frontera,pais,5
6,7,representar,inversion,11
6,7,construccion,millon,7
6,7,representar,millon,6
6,8,construccion,mes,5
6,9,enfrentar,ano,7
6,9,orgullo,ano,6
6,9,produccion,ano,6
6,10,acuerdo,tamaulipas,22
6,10,estrategia,tamaulipas,16
6,10,cierre,tamaulipas,13
6,11,instalacion,anaya,6
6,11,estrategia,turistico,5
6,11,productor,anaya,5
6,12,acuerdo,nacional,13
6,12,frontera,unidos,8
6,12,esfuerzo,sumar,6
6,13,estrategia,local,5
6,13,resultado,poblacion,5
6,13,representar,continuar,5
6,14,estrategia,gobierno,7
6,14,orgullo,historia,6
6,14,carretera,claudia,5
6,15,acuerdo,agosto,7
6,15,costo,metro,6
6,15,acuerdo,nivel,6
6,16,estrategia,seguridad,14
6,16,carretera,seguridad,12
6,16,reconocer,destacar,7
6,17,frontera,seguro,7
6,17,reduccion,ciento,7
6,17,carretera,contemplar,6
6,18,representar,ciudad,10
6,18,estrategia,municipio,8
6,18,orgullo,ciudad,8
6,19,formar,via,6
6,19,frontera,norte,5
6,20,representar,zona,6
6,20,frontera,comun,5
6,20,representar,riesgo,5
6,21,enfrentar,marina,5
6,21,esfuerzo,unidad,5
6,22,otorgar,permiso,6
6,22,estrategia,presidenta,6
6,22,carretera,presidenta,5
6,23,estrategia,fortalecer,18
6,23,construccion,proyecto,10
6,23,orgullo,fortalecer,7
6,24,instalacion,joven,10
6,24,representar,general,7
6,24,acuerdo,academia,7
6,25,enfrentar,caso,6
6,25,instalacion,caso,5
6,25,esfuerzo,fisico,5
7,0,atencion,tampico,23
7,0,pesos,tampico,19
7,0,inaugurar,monica,15
7,1,millon,familia,6
7,1,victoria,americo,6
7,1,inaugurar,familia,6
7,2,millon,mexico,10
7,2,natural,mexico,9
7,2,necesidad,atender,6
7,3,atencion,mujer,5
7,3,pesos,economico,5
7,4,atencion,buscar,5
7,5,millon,pais,8
7,5,millon,corrupto,7
7,5,natural,pais,7
7,6,inversion,representar,11
7,6,millon,construccion,7
7,6,millon,representar,6
7,8,pesos,mes,15
7,8,inversion,sur,8
7,8,hidalgo,sur,6
7,9,pesos,ano,6
7,9,fuente,apertura,6
7,9,millon,ano,5
7,10,atencion,tamaulipas,15
7,10,pesos,tamaulipas,14
7,10,inversion,tamaulipas,13
7,11,victoria,anaya,6
7,12,hidalgo,nacional,6
7,13,atencion,programa,8
7,13,hidalgo,avenida,8
7,13,pesos,cuyo,6
7,14,natural,gas,13
7,14,atencion,gobierno,11
7,14,millon,gobierno,10
7,16,atencion,seguridad,8
7,16,atencion,autoridad,8
7,17,atencion,estatal,10
7,17,pesos,consejo,9
7,17,millon,contemplar,7
7,18,hospital,madero,12
7,18,victoria,ciudad,11
7,18,hospital,ciudad,8
7,19,atencion,labor,7
7,19,hidalgo,norte,7
7,20,col,calle,8
7,20,atencion,servicios,8
7,20,atencion,publicos,8
7,21,hospital,sheinbaum,7
7,21,atencion,sheinbaum,5
7,22,hospital,medico,10
7,22,atencion,medico,9
7,22,inaugurar,presidenta,6
7,23,atencion,bienestar,13
7,23,victoria,bienestar,11
7,23,inaugurar,bienestar,10
7,24,pesos,general,6
7,24,hospital,persona,6
7,24,inversion,general,6
7,25,nieto,dolor,6
7,25,atencion,publico,6
7,25,atencion,hora,5
8,0,mantener,tampico,18
8,0,sur,tampico,16
8,0,mes,tampico,16
8,1,educacion,ofrecer,8
8,1,alcalde,martinez,7
8,1,educacion,ley,6
8,2,mantener,mexico,12
8,2,paquete,fiscal,9
8,2,informar,mexico,7
8,3,educacion,federal,6
8,4,sur,buscar,9
8,4,educacion,basico,8
8,4,mantener,buscar,5
8,5,mantener,morena,5
8,5,mantener,pais,5
8,5,convenir,pais,5
8,6,mes,construccion,5
8,7,mes,pesos,15
8,7,sur,inversion,8
8,7,sur,hidalgo,6
8,9,mantener,ano,7
8,9,periodo,ano,7
8,9,visitante,ano,7
8,10,sur,tamaulipas,50
8,10,educacion,tamaulipas,22
8,10,informar,tamaulipas,19
8,11,visitante,turistico,12
8,11,visitante,verano,8
8,11,periodo,verano,7
8,12,educacion,militarizado,18
8,12,educacion,sep,10
8,12,educacion,modelo,10
8,13,mantener,continuar,6
8,13,administracion,programa,6
8,13,mes,local,5
8,14,educacion,gobierno,7
8,14,resolver,gobierno,6
8,14,administracion,social,6
8,15,informar,agosto,6
8,16,educacion,secretaria,17
8,16,educacion,publica,9
8,16,mantener,seguridad,7
8,17,periodo,ciento,9
8,17,educacion,estatal,7
8,17,sur,region,6
8,18,informar,ciudad,12
8,18,mantener,ciudad,8
8,18,visitante,ciudad,7
8,19,sur,norte,14
8,19,sur,veracruz,5
8,20,sur,zona,24
8,20,indicar,zona,9
8,20,sur,llegar,8
8,21,educacion,institucion,12
8,21,educacion,militar,7
8,22,mes,permiso,5
8,23,mes,proyecto,6
8,23,informar,accion,6
8,23,educacion,secretario,6
8,24,educacion,academia,8
8,24,sur,carril,7
8,24,sur,persona,6
8,25,educacion,escuela,21
8,25,indicar,proceso,8
8,25,gonzalez,erasmo,6
9,0,ano,tampico,44
9,0,ano,villarreal,24
9,0,ano,monica,18
9,1,ano,dafne,23
9,1,ano,familia,15
9,1,ano,recibir,8
9,2,ano,mexico,15
9,2,mexicana,mexico,9
9,2,ano,victima,7
9,3,ano,participacion,7
9,4,ano,buscar,10
9,4,refineria,clandestino,9
9,4,ano,comenzar,8
9,5,ano,pasar,19
9,5,ano,pais,12
9,5,refineria,huachicol,12
9,6,ano,enfrentar,7
9,6,ano,orgullo,6
9,6,ano,produccion,6
9,8,ano,mantener,7
9,8,ano,periodo,7
9,8,ano,visitante,7
9,10,ano,tamaulipas,44
9,10,ano,julio,11
9,10,ano,registrar,11
