documento_id,plataforma,usuario,tipo_registro,lemas
33aba94cfb9afe3a6c04,Medios,Milenio,articulo,canoista tamaulipeco diego popa destacado actuacion campeonato panamericano canotaje celebrar montreal canada medalla mexico plata oro atleta sobresaliente competencia diego popa abrir participacion medalla plata deportista originario tampico abrir participacion certamen medalla plata prueba metro resultado colocar exponente continente disciplina destacado actuacion popa mostrar nivel competitivo sumar presea delegacion mexicano dejar alto nombre tamaulipas evento internacional diego popa sumar oro metro hora tampiqueno volver podio conquistar medalla oro prueba metro campeon panamericano especialidad resultado diego popa cerrar brillante jornada acumular presea campeonato plata metro oro metro reconocer desempeno atleta tamaulipeco doble logro deportista celebrar instituto deporte tamaulipas inde destacar esfuerzo dedicacion representar mexico competencia importante continente jetl
4c4530dd13ff3683b1b7,Facebook,John Anthony Reyes Salinas,comentario,excelente labor felicitar ayuntamiento tampico sensibilizar nina nino adolescente prevencion delito
95f7e610d560b3cd6314,Medios,El Sol de México,articulo,localmiercoles julio regla claro razer destino turistico tamaulipas llegar iniciativo congreso ausencia regla generar escenario riesgo derivar accidente grave perdida humano dano ambiental mariela macay
4726cc76a9378432d1e1,Instagram,monicavtampico,publicacion_institucional,inaugurar exposicion bodies muestra anatomia humano impactant mundo recorrer pais recibir millon visitante consolidir destino apostar cultura conocimiento turismo experiencia alla exposicion pabellon tampico cuidar direccion salud distrito salud bienestar acercar familia servicio gratuito prevencion promocion salud deteccion vih hepatitis vacunacion prevencion cancer mama orientacion nutricional programa cecodiat lonchera plato saludable invitar extraordinario exposicion seguir disfrutar tampico ofrecer espacio cultural metropolitano metro julio costo boleto individual paquete familiar persona paquete amigos persona
1c94ecc795d50c273b89,Twitter,@VoxPopuliNoti,comentario,monica villarreal ampliar oferta turistico tampico exposicion bodies alcaldesa subrayar interesante exhibicion contar reconocimiento internacional recorrer pais turismo tampico tamaulipas
ecdb814db7cff72ef7c7,Twitter,@VoxPopuliNoti,comentario,monica villarreal ampliar oferta turistico tampico exposicion bodies alcaldesa subrayar interesante exhibicion contar reconocimiento internacional recorrer pais turismo tampico tamaulipas
65bc8b1c780c24300a38,Medios,Milenio,articulo,robo perdida activo problema sustitucion maquinaria pesado representar fuga operativo anual promedio millon pesos organizacion mediano carecer sistema rastreo acuerdo reciente informe operaciones conectadas soco publicado empresa samsara informe senalar mexico ubicar pais crecimiento mundial delito ano operacion rastreo perder promedio millon pesos anual costo directo indirecto equipo encontrado ciento costo operativo provenir activo pequeno encontrado valuado pesos herramienta sensor refaccion especializado compania senalar mexico ciento organizacion afirmar frecuencia robo activo alto incrementar lustro cifra superar promedio global ciento falta visibilidad impactar directamente competitividad ciento asegurar dejar participar competir proyecto robo perdida extravio activo critico samsara agregar ciento participante mexico senalar desaparicion activo critico provocar cierre retraso significativo proyecto mes ausencia
2404d4fadc72c870f9c8,Twitter,@gruponoticiaspc,comentario,monica villarreal ampliar oferta turistico tampico exposicion bodies oferta turistico cultural tampico periodo vacacional verano presidenta municipal monica villarreal leer
d5c9f2fe6cb1c6fae4f0,Medios,El Sol de México,articulo,deportesmiercol julio papa combatir malvinas argentino tampico vivir emocion triunfo inglaterra facundo oliva oriundo rioja vivir encuentro matiz emocional hijo combatiente guerra malvinas adolfo ruiz nunez
219f5263233651401c83,Twitter,@gruponoticiaspc,comentario,bodies invitar reflexionar vida cuidar salud monica villarreal exposicion internacional bodies llegar tampico proposito trascender ambito cultural turistico promover reflexion profundo leer
8ddea66d809473a832c1,Medios,El Sol de México,articulo,instalacion aires acondicionado colapsar sistema electrico escuela tampico pedir intervencion autoridad autoridades buscar obra patrocinado recurso escuela ejecutar asesoria tecnico evitar afectacion plantel yadira hernandez infraestructura electrico escolar preparado equipo aire acondicionado proyecto desarrollar escuela deber supervisar itife comites padre familia deber director plantel ano escuela registrar dano instalacion electrico
6ee90155979543883517,Medios,El Sol de México,articulo,febrero concentrar muerte sarampion norteamerica febrero emitir alerta epidemiologico aumento caso sarampion america abril advertir brote poliomeliti sarampion america falta vacunacion amenazar muerte director academia militarizada doenitz temer seguridad gossipcarlos rivera cynthia rodriguez anunciar embarazo revelar sexo nombre integrante
b71361c413da8d3113eb,Facebook,Delicias Mamam,comentario,excelente
362824d7b51b7dea3b58,Medios,Milenio,articulo,pan quedar claro correligionario auditoria luis rene cantu extender salvoconducto politico revisar finanza dejar dirigencia alegar falta facultad abrir caja millon pesos cuyo destino seguir opacidad terminar acuerdo unidad movimiento ciudadano terminar exhibido exactamente soler criticar ietam imponer multa pesos incumplir obligacion prevenir atender erradicar violencia politico mujer razon genero partido siquiera incluir programa cargar sancion economico sello sujeto sancionado empresario integrar consejo instituciones empresariales sur tamaulipas ciest reunir jueves secretario recursos hidraulicos raul quiroga alvarez abordar diverso problematica relacionado agua sur especialmente proyecto permanecer pendiente red social inquietud presunto visita andres manuel lopez beltran zona sur tamaulipas intencion definir candidatura indicar tratar rumor llamativo version surgir morenismo aparentemente afectar cuadro cuarta transformacion cierre
12af1de1bc59cd672b03,Medios,Milenio,articulo,maestro director funcionario sector educativo dificil recuperar articulo robado escuela respuesta soler recuperar contar seguro realidad directivo creativo establecer estrategia proteger patrimonio escolar vacacion verano representar receso calendario escolar mes significar cambio grado sistema educativo convertir preocupacion dirigir plantel riesgo robo acto vandalismo policia cubrir ciudad escuela publico carecer recurso contratar velador elevar barda instalar alarma colocar camara videovigilancia panorama creatividad colaboracion comunidad escolar convertir principal herramienta prevencion regidor rogelio perez lara presidente comision educacion tampico explicar estrategia implementada secundarias consistir secretaria direccion resguarden casa equipo computo entregar resguardo equipo computo secretaria direccion casa senalar medida realidad ingresar robar soler buscar articulo tecnologico comput
c3bc27ce7d82f8a62527,Medios,Milenio,articulo,amanecer lancha comenzar rio panuco ruido motor romper silencio pescador preparar jornada soltar amarra repetir ritual aprender padre abuelo persignar embarcacion levantar vista imagen virgen carmen silencio peticion sencillo invaluable regresar casa pedir pesca extraordinario red repleto camaron jaiba pedir volver vida escena repetir dia depender mar sostener familia cobrar significado especial julio ciudad madero tampico comunidad norte veracruz celebrar patrona pescador dia abandonar hora templo navegar rio mar manifestacion religioso emblematico sur tamaulipas virgen carmen unicamente advocacion catolico ciento familia representar memoria generacion entero vivir agua presencia constante casa pescador simbolo proteccion frente tormenta figura acompanar salida mar region pesca marcar identidad habitante imagen terminar paisaje explanada levantar monumento virgen
b27f81d8bb704aadb119,Facebook,Mónica Villarreal,publicacion_institucional,contar unidad cuidados tamul paz espacio representar compromiso gobierno escuchar atender persona centro accion acceder comida nutritiva costo pesos platillo servicio lavanderia pesos carga ropa equivalente kilo servicio agua purificado pesos botellon taller autoempleo clase cocina activacion fisico programa fortalecer bienestar familia tampico reducir carga enfrentar familia dignificar dia dia construir ciudad humano cercano incluyente
84d05032b01baa93d1b6,Facebook,Mónica Villarreal,publicacion_institucional,julio procesion nautico honor virgen carmen patrona marinero pescador reunir familia mantener vivo devocion heredado generacion refrendar compromiso mar fuente sustento fecha motivo union esperanza reconocimiento hombre mujer mar
3ca0140ee6a56bd918d2,Facebook,Mónica Villarreal,publicacion_institucional,verano diversion vivir tampico julio agosto nina nino ano disfrutar campamento verano tampico unidad deportivo tampico morelos borreguera puertas coloradas opcion seguro cercano accesible nino aprovechar vacacion deporte convivencia experiencia tampicotecuida tampicovacontodos
2b887d49ae620dd2f993,Medios,Milenio,articulo,obra publico lanzado municipio tamaulipas repartir empresa afiliada cmic considerada informal situacion socio agrupacion laborar mitad capacidad pedir participacion plan autoridad pedir participacion asignacion ayuntamiento ayudar actividad presente ano balsamo necesitar aumentar ganancia enfatizar titular delegacion pablo haro panduro fecha promedio empresa ramo ayuntamiento otorgar pavimentacion arreglo red hidrosanitaria organismo privado desarrollar agenda proyecto municipio lanzar beneficio operacion empresa mitad ideal personal laborar faltar salir obra publico pedir considerar directivo empresa camara entregar proyecto agregar camara mexicana industria construccion estatal contar afiliado tercio repartir zona sur resto dedicar reynosa matamoros laredo cifra ciento compania catalogado microempresa
f04c8d50797a16c5a594,Facebook,Alex Gutierrez Guerra.,comentario,equipo clave exito
4e63e0ce26624d17b9e7,Medios,El Sol de México,articulo,analisisjueves julio imaginese resurreccion azul busca altamira crecimiento ordenado madero justicia social barra columna noticias columna cartones loultimo newsletter quedar conversacion mandar correo resumen informativo
ed5123137868e4e4307a,Instagram,luisloaiza21,comentario,padrisimo
6a45ce071a8516e5a8cc,Medios,Milenio,articulo,jornada prevencion delito cabo tampico diverso escuela ciudad registrar caso abuso sexual menor edad escuchar platica caso abuso sexual elda vianey escobedo directora prevencion delito tampico indicar detectar caso escuela primario caso tocamiento considerar abuso sexual canalizar aproximado alumno llegar atender oportuno gracias programa buscar justo ocurrir conducta escalir conflicto existir declarar explicar funcionaria semaforo corporal detectar caso justamente tocamiento mayoria detectar atencion oportuno dif municipal pendiente velar bienestar infancia adolescencia lograr contencion buscar abuso familia jornada multidisciplinaria caso terminar instancia fiscalia especializada investigacion delitos ninas ninos adolescentes delitos mujeres razones genero normalmente caso detallar autoridad gener
36330137aacbbd44c7f0,Medios,Milenio,articulo,construccion tren pasajero laredo sumar consorcio grupo hycsa encargado proyecto infraestructura tamaulipas estacion trayecto ferroviario anunciado gobierno federal aplicar millon pesos puntos ascenso descenso corporativo ganar fallo licitacion ascenso descenso pasajero repartido coahuila leon terminar frontera unidos objetivo movilizar anualmente millon persona centro pais grupo hycsa construir estacion resolucion convocatoria indicar corporativo encargar desarrollar estacion general escobedo salinas victoria villa aldama lampazos naranjo anahuac laredo esperar generar maniobra contemplar ano medio programado secretaria infraestructura comunicaciones transporte sict proyecto representar hito grupo hycsa confirmar capacidad participar obra infraestructura escala relevancia nacional aportaremos experiencia tecnico capacidad ejecucion construir estacion conectar persona comunidad centro productivo region economico importante
c260a8c5772dd1e5bf6f,Medios,Milenio,articulo,manana jueves zarpar embarcacion procesion ano honor virgen carmen patrona pescador rio panuco rumbo ciudad madero ceremonia previo zarpar bordo parque camaronero roque rojas imagen virgen adornado flor diverso color tripulacion politico empresario obispo margarito salazar cardenas encabezar ceremonia religioso zarpar agua rio panuco destino colonia barra ciudad madero misa gracias virgen carmen asegurar obispo mensaje gracias virgen carmen cuidar habitante tampico madero altamira tripulacion destacar presencia alcalde erasmo gonzalez robledo susana pineda comisionado desarrollo economico tampico claudia fernandez directora desarrollo economico altamira jorge maron presidente asociacion hoteles
