tema_id,n_terminos,top_20_terminos,coherencia_tema_cv,calidad_tema,visible_por_defecto,titulo_curado,resumen_curado,motivo_calidad,curacion_manual
10,19,"violencia(0.031), menor(0.027), presentar(0.025), presunto(0.021), medico(0.021), salud(0.019), militar(0.017), madre(0.017), actividad(0.015), reportar(0.013), exigir(0.011), video(0.010), victima(0.009), declaracion(0.008), mariela(0.007), macay(0.007), sufrir(0.007), alejandra(0.007), revisar(0.006)",0.3623,media,True,,,coherencia c_v,False
11,30,"economico(0.039), oportunidad(0.037), pequeno(0.032), ano(0.032), mundial(0.028), internacional(0.028), representar(0.025), impulsar(0.020), importante(0.018), comercio(0.014), mexicano(0.014), explicar(0.014), enfrentar(0.014), abrir(0.014), ofrecer(0.014), consecuencia(0.014), marcado(0.014), profesional(0.014), cambio(0.014), posibilidad(0.014)",0.3192,media,True,,,coherencia c_v,False
12,17,"ciudad(0.050), dafne(0.039), antonio(0.037), evento(0.032), hernandez(0.030), sosa(0.024), mante(0.021), juan(0.020), militarizado(0.019), pedir(0.016), localviernes(0.013), localdomingo(0.013), recibir(0.012), reunir(0.012), fallecimiento(0.009), originario(0.007), luis(0.007)",0.3068,media,True,,,coherencia c_v,False
13,21,"agua(0.040), pendiente(0.023), obra(0.023), gobierno(0.023), deber(0.017), jorge(0.017), hombre(0.012), pescador(0.012), frente(0.012), ley(0.012), tarde(0.012), escuchar(0.012), cercano(0.012), responder(0.012), apoyar(0.012), informar(0.006), ejercito(0.006), problema(0.006), evitar(0.006), miercoles(0.006)",0.4174,media,True,,,coherencia c_v,False
14,23,"grupo(0.046), infraestructura(0.046), centro(0.031), laredo(0.031), proyecto(0.031), construir(0.031), millon(0.031), encargado(0.016), federal(0.016), victoria(0.016), terminar(0.016), esperar(0.016), sumar(0.016), coahuila(0.016), medio(0.016), unidos(0.016), confirmar(0.016), region(0.016), indicar(0.016), comunidad(0.016)",0.5723,alta,True,,,coherencia c_v,False
15,18,"delito(0.037), caso(0.034), joven(0.033), familia(0.031), veracruz(0.020), abuso(0.017), existir(0.017), considerar(0.017), ocurrir(0.013), declarar(0.012), mes(0.012), prueba(0.012), mar(0.012), localsabado(0.012), mantener(0.008), gonzalez(0.008), instancia(0.006), grave(0.006)",0.3795,media,True,,,coherencia c_v,False
16,13,"monica(0.034), villarreal(0.033), prevencion(0.031), jornada(0.022), saludable(0.017), bienestar(0.011), programa(0.011), fortalecer(0.010), servicio(0.010), familiar(0.009), oferta(0.009), extraordinario(0.009), acudir(0.007)",0.3925,media,True,,,coherencia c_v,False
17,27,"investigacion(0.034), persona(0.034), operativo(0.032), personal(0.028), colonia(0.023), alcaldesa(0.023), atender(0.023), diverso(0.023), unidad(0.023), lograr(0.023), resultado(0.023), autoridad(0.023), padre(0.012), gestion(0.012), excelente(0.012), inmediato(0.012), correspondiente(0.012), criminal(0.012), entidad(0.011), legal(0.011)",0.35,media,True,,,coherencia c_v,False
18,9,"seguir(0.018), situacion(0.015), fuga(0.015), inversion(0.015), emergencia(0.011), calidad(0.011), afiliado(0.007), publica(0.006), aparecer(0.004)",0.4243,alta,True,,,coherencia c_v,False
19,0,,0.0,baja,False,Tema sin términos suficientes,"El modelo no asignó términos con peso suficiente a este tema. Se conserva para mantener la numeración del análisis, pero se oculta por defecto y no debe interpretarse como una conversación sustantiva.",sin términos válidos para calcular coherencia,False
20,12,"metro(0.023), escuela(0.020), verano(0.013), presidenta(0.012), alumno(0.010), maestro(0.009), estatal(0.007), ninos(0.007), iniciar(0.006), disciplina(0.006), fuerza(0.006), instalacion(0.005)",0.3659,media,True,,,coherencia c_v,False
21,22,"escolar(0.023), realidad(0.023), convertir(0.016), secretaria(0.016), soler(0.016), equipo(0.016), sector(0.016), direccion(0.016), seguro(0.016), compromiso(0.016), vacacion(0.015), funcionario(0.012), principal(0.008), proteger(0.008), plantel(0.008), comision(0.008), riesgo(0.008), entregar(0.008), presidente(0.008), respuesta(0.008)",0.4314,alta,True,,,coherencia c_v,False
22,15,"nivel(0.018), accidente(0.018), vida(0.016), encontrar(0.012), ingresar(0.011), registrar(0.010), ubicado(0.010), llamado(0.010), similar(0.009), hospital(0.008), unicamente(0.008), area(0.008), presencia(0.008), guardia(0.005), francisco(0.005)",0.2788,media,True,,,coherencia c_v,False
23,19,"exposicion(0.102), entrada(0.055), gratuito(0.045), metropolitano(0.042), cultural(0.041), bodies(0.040), descubrir(0.035), disfrutar(0.028), dia(0.027), llegar(0.022), especial(0.021), jardin(0.021), turistico(0.018), tampiqueno(0.015), forma(0.007), compartir(0.007), profundo(0.007), noche(0.007), tamaulipeco(0.007)",0.3859,media,True,,,coherencia c_v,False
24,20,"academia(0.061), muerte(0.055), director(0.054), militarizada(0.053), doenitz(0.053), temer(0.049), amenazar(0.049), seguridad(0.049), septiembre(0.041), madero(0.032), nombre(0.012), sexo(0.012), revelar(0.012), marzo(0.009), informe(0.009), dano(0.008), administracion(0.006), denunciar(0.006), fecha(0.006), cobrar(0.006)",0.5284,alta,True,,,coherencia c_v,False
25,22,"columna(0.066), quedar(0.040), loultimo(0.033), noticias(0.033), resumen(0.033), cartones(0.033), conversacion(0.033), correo(0.033), informativo(0.033), newsletter(0.033), mandar(0.033), articulo(0.027), libertad(0.027), responsabilidad(0.027), casa(0.027), respetar(0.027), emitir(0.027), abril(0.020), proteccion(0.014), fuerte(0.007)",0.712,baja,False,Opiniones generales y contenido compartido,"Agrupa intercambios conversacionales, envíos y referencias generales. La unión parece depender de fórmulas de interacción y no de un problema público definido.",lenguaje conversacional poco específico,True
