de_tema,a_tema,termino_interno,termino_externo,weight
13,23,jorge,dia,4
13,23,obra,compartir,3
13,24,gobierno,septiembre,6
13,24,deber,director,4
13,24,gobierno,madero,4
13,25,frente,proteccion,3
13,25,agua,salir,3
14,0,millon,pais,6
14,0,proyecto,camara,4
14,0,federal,investigar,3
14,1,proyecto,social,3
14,1,proyecto,privado,3
14,1,federal,social,3
14,2,proyecto,tampico,10
14,2,construir,tampico,9
14,2,millon,tampico,7
14,3,millon,pesos,18
14,3,sumar,pesos,4
14,3,proyecto,ciento,4
14,4,region,tamaulipas,6
14,4,sumar,tamaulipas,5
14,4,laredo,tamaulipas,5
14,5,laredo,carmen,7
14,5,millon,municipal,4
14,5,millon,desarrollo,4
14,6,general,republica,4
14,6,millon,empresa,4
14,6,millon,huachicol,4
14,7,general,fiscalia,10
14,7,general,justicia,5
14,8,esperar,temperatura,9
14,8,laredo,maximo,8
14,8,esperar,maximo,6
14,10,encargado,presentar,4
14,10,centro,medico,3
14,11,region,mundial,5
14,11,proyecto,ano,4
14,11,generar,ano,4
14,12,centro,ciudad,5
14,12,generar,ciudad,5
14,12,generar,dafne,5
14,13,proyecto,obra,7
14,13,proyecto,agua,6
14,13,millon,obra,5
14,15,construir,familia,4
14,15,terminar,joven,4
14,15,federal,mantener,3
14,16,millon,programa,4
14,16,federal,programa,4
14,17,terminar,unidad,4
14,17,centro,persona,4
14,17,laredo,alcaldesa,4
14,18,millon,inversion,7
14,18,construir,seguir,6
14,18,millon,publica,4
14,20,esperar,escuela,4
14,20,sumar,metro,3
14,21,proyecto,sector,4
14,22,construir,vida,3
14,23,millon,exposicion,4
14,23,comunidad,dia,3
14,24,laredo,septiembre,4
14,25,terminar,quedar,4
14,25,laredo,abril,3
15,0,caso,nina,5
15,0,familia,nino,4
15,0,familia,nina,4
15,1,familia,experiencia,4
15,1,familia,vivir,4
15,1,joven,agosto,3
15,2,familia,tampico,11
15,2,caso,tampico,8
15,2,localsabado,julio,6
15,3,ocurrir,acuerdo,5
15,3,delito,delincuencia,4
15,3,delito,organizado,4
15,4,familia,tamaulipas,11
15,4,ocurrir,tamaulipas,4
15,4,caso,tamaulipas,4
15,5,familia,manana,4
15,5,familia,gracias,3
15,5,ocurrir,rio,3
15,6,delito,ernesto,7
15,6,delito,ruffo,7
15,6,delito,baja,6
15,7,caso,justicia,8
15,7,familia,justicia,8
15,7,familia,pasar,6
15,8,familia,falta,4
15,9,familia,clase,5
15,9,ocurrir,dejar,5
15,9,familia,marina,5
15,10,familia,salud,6
15,10,caso,menor,6
15,10,caso,violencia,6
15,11,ocurrir,ano,4
15,11,familia,ano,4
15,11,caso,ano,4
15,12,caso,dafne,9
15,12,familia,ciudad,8
15,12,caso,ciudad,7
15,13,mar,hombre,5
15,13,delito,tarde,5
15,13,mar,agua,3
15,14,familia,construir,4
15,14,joven,terminar,4
15,14,mantener,federal,3
15,16,delito,prevencion,6
15,16,familia,bienestar,5
15,16,familia,prevencion,4
15,17,ocurrir,persona,5
15,17,familia,investigacion,5
15,17,familia,padre,4
15,18,ocurrir,situacion,3
15,20,caso,escuela,8
15,20,familia,escuela,6
15,20,delito,escuela,5
15,21,mes,escolar,3
15,22,caso,registrar,4
15,22,ocurrir,accidente,3
15,22,joven,ubicado,3
15,23,familia,dia,8
15,23,familia,disfrutar,5
15,23,familia,exposicion,5
15,24,caso,muerte,6
15,24,familia,madero,5
