usuario,plataforma,n_msgs,n_palabras,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T00_pct,T01_pct,T02_pct,T03_pct,T04_pct,T05_pct,T06_pct,T07_pct,T08_pct,T09_pct,T10_pct,T11_pct,T12_pct,T13_pct,T14_pct,T15_pct,T16_pct,T17_pct,T18_pct,T19_pct,T20_pct,T21_pct,T22_pct,T23_pct,T24_pct,tema_dominante,peso_dominante
Facebook::Amalia Avalos,Facebook,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,37.5,25.0,0.0,T22,3
Facebook::Ana Laura E P,Facebook,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,0.0,10.5,0.0,0.0,0.0,26.3,0.0,0.0,T16,12
Facebook::Ana Yuliana Mar Torres,Facebook,6,21,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,2,0,10,0,0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,9.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,9.5,0.0,47.6,0.0,0.0,T22,10
Facebook::Anabey Mateos,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,T18,1
Facebook::Angel Solorzano,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Angelillo Fernandez,Facebook,1,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,T22,1
Facebook::Angie Aguilar,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Angélica Álvarez,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Armando Chavez,Facebook,2,9,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,33.3,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,11.1,0.0,11.1,11.1,0.0,0.0,11.1,0.0,0.0,T07,3
Facebook::Arturo Garibay,Facebook,3,13,0,0,1,1,1,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,0,0,0.0,0.0,7.7,7.7,7.7,0.0,0.0,23.1,0.0,0.0,0.0,7.7,0.0,0.0,7.7,0.0,0.0,0.0,7.7,0.0,0.0,7.7,23.1,0.0,0.0,T22,3
Facebook::Ary Citlali Tapia,Facebook,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,T22,2
Facebook::Astrid Yamiled,Facebook,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,T06,1
Facebook::Aurelio Cantú D,Facebook,2,11,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,27.3,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,9.1,0.0,18.2,0.0,0.0,0.0,27.3,0.0,0.0,T22,3
Facebook::Badir Alvarado Maldonado,Facebook,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,T22,1
Facebook::Baird Damon,Facebook,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,T11,1
Facebook::Barrett Olvera,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Beatriz Contreras Gonzalez,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Ber Joss,Facebook,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,57.1,14.3,0.0,T22,4
Facebook::Beto Oviedo,Facebook,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,T22,1
Facebook::Beto Rosano,Facebook,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,T22,1
Facebook::Carlos Alfredo Arguelles Cendoya,Facebook,4,7,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,14.3,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,14.3,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,14.3,T07,2
Facebook::Carlos Martin Guerrero Hernandez,Facebook,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0,33.3,T18,1
Facebook::Carmen's Sanchez,Facebook,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T06,1
Facebook::Carolina Diaz,Facebook,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T13,1
Facebook::Chucho Nader,Facebook,1,8,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0,12.5,0.0,25.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,T03,2
Facebook::Cia Las Amo,Facebook,1,4,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T07,2
Facebook::Cinthia Villarreal,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T13,1
Facebook::Claudia Anaya Alvarado,Facebook,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,33.3,0.0,0.0,T22,1
Facebook::Cornelio Lopez,Facebook,1,9,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,11.1,0.0,11.1,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,0.0,0.0,T22,5
Facebook::Daniela Cervantes,Facebook,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,T22,1
Facebook::David Garcia,Facebook,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,T18,1
Facebook::David Vizuet Rodriguez,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T16,1
Facebook::Delicias Mamam,Facebook,11,39,0,1,2,1,0,1,0,7,1,0,1,0,0,1,0,0,3,1,0,1,1,2,11,3,2,0.0,2.6,5.1,2.6,0.0,2.6,0.0,17.9,2.6,0.0,2.6,0.0,0.0,2.6,0.0,0.0,7.7,2.6,0.0,2.6,2.6,5.1,28.2,7.7,5.1,T22,11
Facebook::Deniss Rangel,Facebook,3,11,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,1,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,9.1,0.0,0.0,9.1,0.0,0.0,0.0,0.0,27.3,0.0,0.0,9.1,0.0,0.0,27.3,0.0,0.0,T22,3
Facebook::Deny Lo,Facebook,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,T23,1
Facebook::Dirección de Deportes Tampico,Facebook,1,60,1,1,5,1,0,0,1,5,2,2,1,3,2,1,0,5,8,2,2,8,0,2,3,3,2,1.7,1.7,8.3,1.7,0.0,0.0,1.7,8.3,3.3,3.3,1.7,5.0,3.3,1.7,0.0,8.3,13.3,3.3,3.3,13.3,0.0,3.3,5.0,5.0,3.3,T19,8
Facebook::Dirección de Desarrollo Económico Tampico,Facebook,1,50,0,2,0,3,0,1,0,5,2,1,4,0,1,0,0,0,11,0,7,3,1,1,5,1,2,0.0,4.0,0.0,6.0,0.0,2.0,0.0,10.0,4.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,14.0,6.0,2.0,2.0,10.0,2.0,4.0,T16,11
Facebook::Dora Lilia Vazquez Cruz,Facebook,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T03,2
Facebook::Doris H Gonzalez,Facebook,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,33.3,T22,1
Facebook::Edgar Garcia,Facebook,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,T02,1
Facebook::Elda Vianhey,Facebook,4,7,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0.0,14.3,0.0,0.0,0.0,0.0,14.3,14.3,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,28.6,0.0,0.0,T22,2
Facebook::Elizabeth Bermea,Facebook,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T05,1
Facebook::Elvira Peralta,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Emmanuel Diaz,Facebook,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,0.0,0.0,T22,2
Facebook::Erika Deyanira Bolado Nigoche,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Eury Chávez López,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Evangelina Mellado,Facebook,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,T22,1
Facebook::Fernando De Leija,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,T18,1
Facebook::Fidencio Rocha,Facebook,3,18,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,1,4,5,0,1,0.0,0.0,5.6,0.0,0.0,0.0,0.0,11.1,0.0,0.0,5.6,0.0,5.6,0.0,0.0,0.0,0.0,0.0,11.1,0.0,5.6,22.2,27.8,0.0,5.6,T22,5
Facebook::Flor Hernandez,Facebook,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,T22,1
Facebook::Francisco Adrian Pallares Martinez,Facebook,7,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,2,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,0.0,6.7,13.3,0.0,0.0,20.0,0.0,0.0,T16,8
Facebook::Francisco Gomez,Facebook,1,10,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0,T18,3
Facebook::Gabriela Luna Escamilla,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Gonzalo de la Cruz,Facebook,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T03,1
Facebook::Guiye Kings,Facebook,1,13,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,3,1,0,0,1,0,0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,7.7,0.0,0.0,7.7,0.0,0.0,0.0,23.1,23.1,7.7,0.0,0.0,7.7,0.0,0.0,T17,3
Facebook::Gustavo Enrique Avalos Alvarez,Facebook,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,T22,1
Facebook::Hecdaddy Marino,Facebook,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,T21,1
Facebook::Hiran Cuellar,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Ilse Turrubiates,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T16,1
Facebook::Irene Almendarez Moreno,Facebook,5,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,T22,4
Facebook::Irma Robledo Hernandez,Facebook,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,T07,2
Facebook::Irving Lopez,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,T22,1
Facebook::Isa Guzman,Facebook,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,33.3,33.3,0.0,0.0,T22,1
Facebook::JC Aguilar,Facebook,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T15,1
