usuario,plataforma,n_msgs,n_palabras,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T20,T21,T22,T23,T24,T25,T00_pct,T01_pct,T02_pct,T03_pct,T04_pct,T05_pct,T06_pct,T07_pct,T08_pct,T09_pct,T10_pct,T11_pct,T12_pct,T13_pct,T14_pct,T15_pct,T16_pct,T17_pct,T18_pct,T20_pct,T21_pct,T22_pct,T23_pct,T24_pct,T25_pct,tema_dominante,peso_dominante
Facebook::Rob Aidya,Facebook,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T17,1
Facebook::Tampico Gob,Facebook,3,69,0,1,9,1,1,7,1,0,0,1,0,7,2,0,2,1,8,0,2,5,11,0,10,0,0,0.0,1.4,13.0,1.4,1.4,10.1,1.4,0.0,0.0,1.4,0.0,10.1,2.9,0.0,2.9,1.4,11.6,0.0,2.9,7.2,15.9,0.0,14.5,0.0,0.0,T21,11
Facebook::Zr Loredo,Facebook,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T01,1
Instagram::arturo_r_clynes_mogica,Instagram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
Instagram::desecotampico,Instagram,1,20,0,1,1,0,1,3,1,0,0,0,0,4,1,0,1,0,3,0,0,1,3,0,0,0,0,0.0,5.0,5.0,0.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,5.0,0.0,15.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,T11,4
Instagram::juanpizanamtz,Instagram,1,23,0,1,5,0,2,2,0,0,1,0,0,2,0,0,3,1,2,0,0,1,0,2,1,0,0,0.0,4.3,21.7,0.0,8.7,8.7,0.0,0.0,4.3,0.0,0.0,8.7,0.0,0.0,13.0,4.3,8.7,0.0,0.0,4.3,0.0,8.7,4.3,0.0,0.0,T02,5
Instagram::kukis.toxica,Instagram,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
Instagram::luisloaiza21,Instagram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
Instagram::lupitamaria_sanchez,Instagram,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
Instagram::mariodallas1862,Instagram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
