id_global,tema_id,sub_id,hex_color,n_palabras,n_aristas,densidad,peso_total,nombre_subtema
T07_S06,7,6,#7f7f7f,4,6,1.0,10.0,"Responsable, caer, alguien, adolescente"
T07_S07,7,7,#7f7f7f,3,2,0.667,9.0,"Pasar, culpable, tratar"
T08_S00,8,0,#bcbd22,4,6,1.0,55.0,"Maximo, temperatura, grado, ambiente"
T08_S01,8,1,#bcbd22,5,9,0.9,29.0,"Atencion, politico, falta, apoyo"
T08_S02,8,2,#bcbd22,4,5,0.833,23.0,"Zona, municipio, ayuntamiento, peligroso"
T09_S00,9,0,#17becf,6,11,0.733,21.0,"Mundo, invitar, recorrer, calle"
T09_S01,9,1,#17becf,3,3,1.0,20.0,"Dejar, marina, participacion"
T09_S02,9,2,#17becf,4,5,0.833,12.0,"Hora, continuar, sitio, generacion"
T09_S03,9,3,#17becf,5,7,0.7,12.0,"Operar, sistema, puerto, recurso"
T09_S04,9,4,#17becf,3,3,1.0,10.0,"Cuerpo, humano, conocimiento"
T10_S00,10,0,#aec7e8,3,3,1.0,24.0,"Madre, militar, alejandra"
T10_S01,10,1,#aec7e8,3,3,1.0,13.0,"Menor, actividad, revisar"
T10_S02,10,2,#aec7e8,3,3,1.0,12.0,"Medico, victima, salud"
T10_S03,10,3,#aec7e8,3,3,1.0,11.0,"Presunto, video, declaracion"
T10_S04,10,4,#aec7e8,3,3,1.0,9.0,"Exigir, macay, mariela"
T11_S00,11,0,#ffbb78,6,13,0.867,34.0,"Pequeno, mexicano, entender, enfrentar"
T11_S01,11,1,#ffbb78,6,12,0.8,27.0,"Aprovechar, mundial, alla, observar"
T11_S02,11,2,#ffbb78,6,12,0.8,27.0,"Explicar, impulsar, escenario, comercio"
T11_S03,11,3,#ffbb78,4,6,1.0,25.0,"Importante, economico, oportunidad, representar"
T11_S04,11,4,#ffbb78,3,3,1.0,11.0,"Ano, posibilidad, marcado"
T11_S05,11,5,#ffbb78,3,3,1.0,5.0,"Directivo, cambio, ayudar"
T12_S00,12,0,#98df8a,3,3,1.0,31.0,"Dafne, militarizado, localviernes"
T12_S01,12,1,#98df8a,6,11,0.733,29.0,"Antonio, juan, sosa, evento"
T12_S02,12,2,#98df8a,3,3,1.0,22.0,"Ciudad, mante, originario"
T12_S03,12,3,#98df8a,4,6,1.0,14.0,"Recibir, pedir, luis, localdomingo"
T13_S00,13,0,#ff9896,6,14,0.933,42.0,"Gobierno, escuchar, apoyar, responder"
T13_S01,13,1,#ff9896,5,9,0.9,37.0,"Deber, ley, pendiente, obra"
T13_S02,13,2,#ff9896,6,15,1.0,33.0,"Frente, hombre, evitar, tarde"
T13_S03,13,3,#ff9896,4,6,1.0,23.0,"Agua, utilizar, pescador, informar"
T14_S00,14,0,#c5b0d5,5,10,1.0,36.0,"Centro, general, region, comunidad"
T14_S01,14,1,#c5b0d5,3,3,1.0,26.0,"Millon, proyecto, construir"
T14_S02,14,2,#c5b0d5,4,6,1.0,17.0,"Terminar, esperar, indicar, encargado"
T14_S03,14,3,#c5b0d5,4,6,1.0,12.0,"Federal, frontera, coahuila, unidos"
T14_S04,14,4,#c5b0d5,4,5,0.833,10.0,"Infraestructura, generar, medio, grupo"
T14_S05,14,5,#c5b0d5,3,3,1.0,10.0,"Laredo, sumar, confirmar"
T15_S00,15,0,#1f77b4,5,10,1.0,38.0,"Joven, existir, declarar, mantener"
T15_S01,15,1,#1f77b4,6,13,0.867,30.0,"Delito, ocurrir, veracruz, considerar"
T15_S03,15,3,#1f77b4,3,2,0.667,17.0,"Familia, mar, instancia"
T16_S00,16,0,#ff7f0e,5,9,0.9,45.0,"Villarreal, monica, fortalecer, oferta"
T16_S01,16,1,#ff7f0e,4,6,1.0,31.0,"Prevencion, programa, bienestar, servicio"
T16_S02,16,2,#ff7f0e,3,3,1.0,10.0,"Jornada, saludable, familiar"
T17_S00,17,0,#2ca02c,6,14,0.933,44.0,"Investigacion, personal, diverso, inmediato"
T17_S01,17,1,#2ca02c,6,14,0.933,44.0,"Lograr, unidad, elemento, accion"
T17_S02,17,2,#2ca02c,4,5,0.833,19.0,"Autoridad, padre, correspondiente, legal"
T17_S03,17,3,#2ca02c,4,6,1.0,18.0,"Asegurar, perder, operativo, publico"
T17_S04,17,4,#2ca02c,5,10,1.0,17.0,"Atender, colonia, gestion, alcaldesa"
T18_S00,18,0,#d62728,3,3,1.0,17.0,"Situacion, fuga, emergencia"
T18_S01,18,1,#d62728,3,2,0.667,13.0,"Seguir, calidad, aparecer"
T18_S02,18,2,#d62728,3,3,1.0,8.0,"Inversion, publica, afiliado"
T20_S00,20,0,#8c564b,3,3,1.0,19.0,"Escuela, disciplina, instalacion"
T20_S01,20,1,#8c564b,3,3,1.0,19.0,"Presidenta, verano, ninos"
T20_S02,20,2,#8c564b,3,3,1.0,12.0,"Fuerza, iniciar, estatal"
T21_S00,21,0,#e377c2,8,18,0.643,32.0,"Sector, comision, presidente, principal"
T21_S01,21,1,#e377c2,6,13,0.867,24.0,"Vacacion, realidad, seguro, soler"
T21_S02,21,2,#e377c2,4,6,1.0,22.0,"Escolar, plantel, convertir, riesgo"
T21_S03,21,3,#e377c2,4,6,1.0,17.0,"Secretaria, equipo, direccion, entregar"
T22_S00,22,0,#7f7f7f,4,6,1.0,33.0,"Accidente, vida, nivel, unicamente"
T22_S01,22,1,#7f7f7f,4,6,1.0,18.0,"Llamado, encontrar, similar, hospital"
T22_S02,22,2,#7f7f7f,4,6,1.0,14.0,"Registrar, guardia, presencia, francisco"
T22_S03,22,3,#7f7f7f,3,3,1.0,10.0,"Ingresar, ubicado, area"
T23_S00,23,0,#bcbd22,8,18,0.643,45.0,"Dia, llegar, compartir, forma"
T23_S01,23,1,#bcbd22,3,3,1.0,29.0,"Exposicion, bodies, turistico"
T23_S03,23,3,#bcbd22,3,3,1.0,10.0,"Cultural, descubrir, especial"
T23_S04,23,4,#bcbd22,3,3,1.0,9.0,"Metropolitano, disfrutar, jardin"
T24_S00,24,0,#17becf,9,29,0.806,121.0,"Muerte, madero, amenazar, septiembre"
T24_S01,24,1,#17becf,4,6,1.0,103.0,"Militarizada, doenitz, seguridad, temer"
T24_S02,24,2,#17becf,4,6,1.0,46.0,"Academia, director, cobrar, denunciar"
T24_S03,24,3,#17becf,3,3,1.0,12.0,"Nombre, revelar, sexo"
T25_S00,25,0,#aec7e8,7,16,0.762,73.0,"Casa, responsabilidad, respetar, libertad"
T25_S01,25,1,#aec7e8,5,9,0.9,55.0,"Columna, cartones, loultimo, newsletter"
T25_S02,25,2,#aec7e8,5,9,0.9,45.0,"Mandar, correo, conversacion, resumen"
T25_S03,25,3,#aec7e8,5,10,1.0,29.0,"Quedar, proteccion, fuerte, abril"
