usuario,posicion_id,tema_id,rank_en_posicion,conteo_tema,pct_usuario_en_tema,n_msgs,n_palabras,plataformas,tema_dominante,sub_dominante
Twitter::@Tampico_Mexico,T06_P1,6,4,15,14.3,3,105,Twitter,T14,T08_S5
YouTube::@familiabellezafitnes,T06_P1,6,5,13,52.0,1,25,YouTube,T06,T06_S2
YouTube::@eduardoE5252,T06_P1,6,6,13,37.1,1,35,YouTube,T06,T06_S2
YouTube::@FromAnytown,T06_P1,6,7,12,25.5,1,47,YouTube,T06,T06_S5
YouTube::@eiguajardo,T06_P1,6,8,11,36.7,2,30,YouTube,T06,T06_S2
YouTube::@EnriqueMorales-x5p,T06_P1,6,9,10,55.6,1,18,YouTube,T06,T06_S2
YouTube::@nicoSaucedoEsparza,T06_P1,6,10,10,62.5,3,16,YouTube,T06,T03_S5
YouTube::@panecillog9406,T06_P1,6,11,10,83.3,1,12,YouTube,T06,T06_S9
YouTube::@YF-ew9bn,T06_P1,6,12,9,56.2,3,16,YouTube,T06,T06_S1
YouTube::@MaribelDianaGarcia,T06_P1,6,13,9,56.2,1,16,YouTube,T06,T09_S1
YouTube::@CarlosMendoza-wg7dl,T06_P1,6,14,9,75.0,2,12,YouTube,T06,T06_S0
YouTube::@KevinSantos-so9lm,T06_P1,6,15,9,47.4,5,19,YouTube,T06,T06_S11
YouTube::@GrandRNomada,T06_P1,6,16,9,36.0,1,25,YouTube,T06,T06_S3
YouTube::@deliasanchez4700,T06_P1,6,17,9,64.3,2,14,YouTube,T06,T06_S0
YouTube::@eugeneolsonjimenez4600,T06_P1,6,18,8,28.6,1,28,YouTube,T06,T06_S0
YouTube::@CristinaTorres-fw1kw,T06_P1,6,19,8,30.8,1,26,YouTube,T06,T03_S5
YouTube::@anadiaz5794,T06_P1,6,20,8,42.1,1,19,YouTube,T06,T06_S4
YouTube::@oliveriajaen5559,T06_P1,6,21,8,61.5,1,13,YouTube,T06,T06_S4
YouTube::@joseesparza9832,T06_P1,6,22,8,42.1,1,19,YouTube,T06,T13_S1
YouTube::@h5jy,T06_P1,6,23,8,44.4,1,18,YouTube,T06,T06_S5
YouTube::@omarmorales1541,T06_P1,6,24,8,47.1,1,17,YouTube,T06,T06_S0
YouTube::@Josue-c7s,T06_P1,6,25,7,87.5,1,8,YouTube,T06,T06_S2
YouTube::@LucyHernandez-sm8bd,T06_P1,6,26,7,87.5,2,8,YouTube,T06,T06_S4
YouTube::@SpecterMondragónZeldriz,T06_P1,6,27,7,70.0,2,10,YouTube,T06,T06_S0
YouTube::@jaibitamor,T06_P1,6,28,7,63.6,1,11,YouTube,T06,T06_S3
YouTube::@miguelahernandezc,T06_P1,6,29,7,20.6,2,34,YouTube,T06,T21_S1
YouTube::@ramirezpcmusica,T06_P1,6,30,7,29.2,1,24,YouTube,T06,T17_S0
YouTube::@rosalbacastellanos3845,T06_P1,6,31,7,31.8,1,22,YouTube,T06,T06_S8
YouTube::@miriammartinez4530,T06_P1,6,32,7,28.0,2,25,YouTube,T06,T06_S5
YouTube::@davidaguirre5819,T06_P1,6,33,7,77.8,3,9,YouTube,T06,T06_S4
YouTube::@mariaeugeniabrena,T06_P1,6,34,7,38.9,1,18,YouTube,T06,T06_S1
YouTube::@mariagora4391,T06_P1,6,35,7,30.4,1,23,YouTube,T06,T14_S1
YouTube::@ChololokoPorro,T06_P1,6,36,7,41.2,2,17,YouTube,T06,T06_S3
YouTube::@CristianJonathanRodríguezR-d4v,T06_P1,6,37,7,12.3,1,57,YouTube,T22,T17_S5
YouTube::@Jakesnew,T06_P1,6,38,7,31.8,2,22,YouTube,T06,T06_S2
YouTube::@IldaSoler,T06_P1,6,39,7,38.9,1,18,YouTube,T06,T06_S1
YouTube::@Karina1234XD,T06_P1,6,40,6,85.7,2,7,YouTube,T06,T06_S5
YouTube::@CaroDiaz-m3g,T06_P1,6,41,6,26.1,1,23,YouTube,T06,T04_S1
YouTube::@AideGuevara-x9v6k,T06_P1,6,42,6,60.0,1,10,YouTube,T06,T06_S2
YouTube::@mariadelrefugiohernandezro772,T06_P1,6,43,6,50.0,1,12,YouTube,T06,T09_S1
YouTube::@martharodriguez7193,T06_P1,6,44,6,15.4,1,39,YouTube,T21,T21_S5
YouTube::@andresrodolfoolveramiranda,T06_P1,6,45,6,50.0,1,12,YouTube,T06,T06_S5
YouTube::@MariaTorres-fj2bd,T06_P1,6,46,6,37.5,2,16,YouTube,T06,T14_S2
YouTube::@Nascocai46,T06_P1,6,47,6,33.3,1,18,YouTube,T06,T19_S2
YouTube::@MonicaGuadalupeTorresBernal,T06_P1,6,48,6,30.0,2,20,YouTube,T06,T18_S2
YouTube::@ootilootil9062,T06_P1,6,49,6,40.0,2,15,YouTube,T06,T06_S2
YouTube::@robertoperez-co5yj,T06_P1,6,50,6,50.0,1,12,YouTube,T06,T06_S2
YouTube::@monicagodinezamado6583,T06_P1,6,51,6,54.5,1,11,YouTube,T06,T06_S4
YouTube::@ssoyluz20,T06_P1,6,52,6,27.3,1,22,YouTube,T06,T06_S5
YouTube::@enriqueymarisol1,T06_P1,6,53,6,25.0,1,24,YouTube,T06,T06_S5
YouTube::@aureliocruz6523,T06_P1,6,54,6,26.1,1,23,YouTube,T06,T06_S0
YouTube::@kikerap-trap2604,T06_P1,6,55,6,35.3,1,17,YouTube,T06,T06_S3
YouTube::@lourdesgr7663,T06_P1,6,56,6,85.7,1,7,YouTube,T06,T06_S0
YouTube::@mcont9639,T06_P1,6,57,6,50.0,1,12,YouTube,T06,T03_S5
YouTube::@luisglez6576,T06_P1,6,58,6,66.7,1,9,YouTube,T06,T06_S1
YouTube::@FelisaSánchez-y5b,T06_P1,6,59,5,25.0,3,20,YouTube,T06,T21_S1
YouTube::@GerardoAgustínGuzmánRíos-o8r,T06_P1,6,60,5,26.3,1,19,YouTube,T23,T23_S6
YouTube::@Gm_G4-w8,T06_P1,6,61,5,55.6,1,9,YouTube,T06,T06_S10
YouTube::@adrianoundead,T06_P1,6,62,5,55.6,1,9,YouTube,T06,T06_S0
YouTube::@jessicanavit,T06_P1,6,63,5,50.0,1,10,YouTube,T06,T06_S3
YouTube::@josefinarizo2954,T06_P1,6,64,5,45.5,1,11,YouTube,T06,T06_S1
YouTube::@elbalopez3627,T06_P1,6,65,5,55.6,1,9,YouTube,T06,T21_S1
YouTube::@carlospachano6253,T06_P1,6,66,5,17.2,1,29,YouTube,T14,T14_S1
YouTube::@berthatolentino6865,T06_P1,6,67,5,29.4,1,17,YouTube,T06,T06_S5
YouTube::@danubys1,T06_P1,6,68,5,16.7,1,30,YouTube,T06,T06_S0
YouTube::@veronicacopal8166,T06_P1,6,69,5,41.7,1,12,YouTube,T06,T06_S1
YouTube::@rosalbacid6940,T06_P1,6,70,5,71.4,1,7,YouTube,T06,T06_S2
YouTube::@stefanicastillo3307,T06_P1,6,71,5,71.4,1,7,YouTube,T06,T06_S1
YouTube::@supersonicgamer1551,T06_P1,6,72,5,38.5,1,13,YouTube,T06,T11_S4
YouTube::@nataliacastaneda2758,T06_P1,6,73,5,41.7,1,12,YouTube,T06,T06_S0
YouTube::@memomanherrera8899,T06_P1,6,74,5,35.7,1,14,YouTube,T06,T06_S0
YouTube::@margaritamendoza5191,T06_P1,6,75,5,50.0,1,10,YouTube,T06,T03_S5
YouTube::@nancyantonio4250,T06_P1,6,76,5,38.5,1,13,YouTube,T06,T06_S1
YouTube::@martharaquelramirezcelesti1660,T06_P1,6,77,5,41.7,1,12,YouTube,T06,T06_S2
YouTube::@marcelinatorres8357,T06_P1,6,78,5,38.5,1,13,YouTube,T06,T06_S1
YouTube::@lacrudarealidad-x5o,T06_P1,6,79,5,31.2,1,16,YouTube,T06,T01_S6
YouTube::@lizyflowtow,T06_P1,6,80,5,16.7,3,30,YouTube,T14,T09_S2
YouTube::@Liliana-ut6ir,T06_P1,6,81,5,33.3,2,15,YouTube,T06,T06_S5
YouTube::@JorgeColiz-f2e,T06_P1,6,82,5,50.0,1,10,YouTube,T06,T06_S1
YouTube::@JuanAmaral-g8w,T06_P1,6,83,5,45.5,1,11,YouTube,T06,T14_S1
YouTube::@IsraelMartinez-p5w,T06_P1,6,84,5,45.5,2,11,YouTube,T06,T06_S2
YouTube::@MsBthy,T06_P1,6,85,5,50.0,2,10,YouTube,T06,T06_S1
YouTube::@Guadalupe-x4h2e,T06_P1,6,86,5,71.4,1,7,YouTube,T06,T06_S5
Twitter::@lajornadaonline,T06_P1,6,87,5,13.5,1,37,Twitter,T09,T09_S1
Twitter::@SINPAYASONOHAY,T06_P1,6,88,5,45.5,1,11,Twitter,T06,T06_S10
YouTube::@TeresaAcostaMontero,T06_P1,6,89,5,41.7,1,12,YouTube,T06,T06_S2
YouTube::@angelesaa9539,T06_P1,6,90,5,31.2,3,16,YouTube,T06,T10_S11
YouTube::@angelicaherrera582,T06_P1,6,91,5,38.5,1,13,YouTube,T06,T06_S4
YouTube::@Origendelavida-qt6bn,T06_P1,6,92,5,41.7,1,12,YouTube,T06,T06_S0
YouTube::@aca639,T06_P1,6,93,5,26.3,1,19,YouTube,T06,T23_S6
YouTube::@Lachicadehumo4120,T06_P1,6,94,4,40.0,1,10,YouTube,T06,T06_S9
YouTube::@LulyBarba,T06_P1,6,95,4,23.5,2,17,YouTube,T04,T04_S4
YouTube::@albertovazquez9058,T06_P1,6,96,4,50.0,1,8,YouTube,T06,T06_S1
YouTube::@alis924,T06_P1,6,97,4,66.7,1,6,YouTube,T06,T06_S2
YouTube::@angelgmtz1,T06_P1,6,98,4,57.1,1,7,YouTube,T06,T06_S7
YouTube::@andradever118,T06_P1,6,99,4,57.1,2,7,YouTube,T06,T06_S3
YouTube::@Oscar-mex-v9s,T06_P1,6,100,4,50.0,2,8,YouTube,T06,T06_S0
YouTube::@TribunaVecinal,T06_P1,6,101,4,21.1,2,19,YouTube,T09,T09_S1
YouTube::@4S1SL4V1D4,T06_P1,6,102,4,66.7,1,6,YouTube,T06,T17_S2
YouTube::@Atlas3ISam,T06_P1,6,103,4,44.4,2,9,YouTube,T06,T14_S1
YouTube::@TheCatbert2010,T06_P1,6,104,4,21.1,3,19,YouTube,T06,T06_S2
YouTube::@Macon-xh5ik,T06_P1,6,105,4,15.4,1,26,YouTube,T24,T04_S0
YouTube::@MariaCoreyLoyaReyes,T06_P1,6,106,4,33.3,1,12,YouTube,T22,T22_S0
YouTube::@VictorAguilar-ws6ok,T06_P1,6,107,4,28.6,1,14,YouTube,T21,T06_S1
Twitter::@FcoJavyer48668,T06_P1,6,108,4,50.0,1,8,Twitter,T06,T06_S1
YouTube::@Coco-k3c,T06_P1,6,109,4,30.8,1,13,YouTube,T06,T13_S1
YouTube::@Esme-f2w,T06_P1,6,110,4,66.7,1,6,YouTube,T06,T06_S7
YouTube::@DylanFernando-t4g,T06_P1,6,111,4,28.6,1,14,YouTube,T03,T03_S5
YouTube::@Elena-123-t4o,T06_P1,6,112,4,28.6,1,14,YouTube,T22,T22_S7
YouTube::@ursulauscangagalicia9435,T06_P1,6,113,4,80.0,1,5,YouTube,T06,T06_S1
YouTube::@yherrera7040,T06_P1,6,114,4,33.3,2,12,YouTube,T06,T03_S5
YouTube::@spicysith9627,T06_P1,6,115,4,40.0,1,10,YouTube,T06,T11_S6
YouTube::@shadowmxli,T06_P1,6,116,4,13.8,1,29,YouTube,T21,T21_S1
YouTube::@paulinoalvarado8388,T06_P1,6,117,4,66.7,1,6,YouTube,T06,T06_S5
YouTube::@pablomelendez4473,T06_P1,6,118,4,36.4,1,11,YouTube,T06,T06_S8
YouTube::@marthavaldezreyes6715,T06_P1,6,119,4,80.0,1,5,YouTube,T06,T06_S1
YouTube::@marthadeanda635,T06_P1,6,120,4,40.0,2,10,YouTube,T06,T09_S1
YouTube::@lourdesvelez3320,T06_P1,6,121,4,16.7,1,24,YouTube,T21,T21_S4
YouTube::@macgyver7998,T06_P1,6,122,4,33.3,2,12,YouTube,T03,T03_S3
YouTube::@macedoniogallegos2939,T06_P1,6,123,4,80.0,1,5,YouTube,T06,T06_S11
YouTube::@luisameliacapistran5055,T06_P1,6,124,4,57.1,1,7,YouTube,T06,T06_S4
YouTube::@marcelahernandez5450,T06_P1,6,125,4,50.0,1,8,YouTube,T06,T06_S9
YouTube::@normapatriciaojeda582,T06_P1,6,126,4,57.1,1,7,YouTube,T06,T04_S2
YouTube::@pattoronto8594,T06_P1,6,127,4,40.0,1,10,YouTube,T06,T21_S5
YouTube::@marielaromero9787,T06_P1,6,128,4,66.7,1,6,YouTube,T06,T06_S0
YouTube::@florarriaga3630,T06_P1,6,129,4,57.1,1,7,YouTube,T06,T06_S2
YouTube::@henryhernandez7714,T06_P1,6,130,4,40.0,1,10,YouTube,T06,T06_S6
YouTube::@irmagalicia5716,T06_P1,6,131,4,66.7,1,6,YouTube,T06,T06_S0
YouTube::@javierchavezluna2943,T06_P1,6,132,4,28.6,1,14,YouTube,T06,T06_S5
YouTube::@lucialeguizamon590,T06_P1,6,133,4,19.0,1,21,YouTube,T06,T21_S1
YouTube::@lindai9078,T06_P1,6,134,4,57.1,1,7,YouTube,T06,T06_S0
YouTube::@jesusjaimegonzalez4872,T06_P1,6,135,4,33.3,1,12,YouTube,T06,T18_S2
YouTube::@josemaximinoescobarespindo7476,T06_P1,6,136,4,26.7,1,15,YouTube,T06,T14_S1
YouTube::@aurelioramirez1145,T06_P1,6,137,4,33.3,1,12,YouTube,T06,T06_S6
YouTube::@estefanyanayuscangasalomon6524,T06_P1,6,138,4,40.0,2,10,YouTube,T06,T09_S6
YouTube::@eunicemedina7588,T06_P1,6,139,4,57.1,1,7,YouTube,T06,T06_S12
YouTube::@cuauhtemoc8350,T06_P1,6,140,4,14.3,1,28,YouTube,T06,T20_S0
YouTube::@coralochoa4333,T06_P1,6,141,4,15.4,1,26,YouTube,T06,T14_S5
YouTube::@cheposanchez8487,T06_P1,6,142,4,50.0,2,8,YouTube,T06,T06_S10
YouTube::@casagame-g6r,T06_P1,6,143,4,30.8,1,13,YouTube,T06,T14_S1
YouTube::@carlosgamez8319,T06_P1,6,144,4,57.1,1,7,YouTube,T06,T06_S12
YouTube::@JuliAlcantar-t6g,T06_P1,6,145,4,23.5,1,17,YouTube,T06,T14_S1
YouTube::@NinfaReguera,T06_P1,6,146,4,13.8,1,29,YouTube,T10,T10_S2
YouTube::@losjuguetesfamosos9491,T06_P1,6,147,4,26.7,2,15,YouTube,T06,T06_S1
YouTube::@liliaprado2136,T06_P1,6,148,4,50.0,1,8,YouTube,T06,T06_S4
YouTube::@fgames966,T06_P1,6,149,4,44.4,1,9,YouTube,T06,T03_S5
YouTube::@gabrieljuarez6721,T06_P1,6,150,4,80.0,1,5,YouTube,T06,T06_S4
YouTube::@Asesorgalindo2026,T06_P1,6,151,4,66.7,1,6,YouTube,T06,T06_S1
Twitter::@yeyefons,T06_P1,6,152,4,50.0,1,8,Twitter,T06,T08_S2
YouTube::@BillGoldbergAustin,T06_P1,6,153,4,50.0,1,8,YouTube,T06,T06_S2
YouTube::@AtanasiaVázquezHernández,T06_P1,6,154,4,80.0,1,5,YouTube,T06,T06_S2
YouTube::@FabiolaVillegas-y7h,T06_P1,6,155,3,30.0,1,10,YouTube,T06,T15_S0
YouTube::@8ASOS,T06_P1,6,156,3,60.0,1,5,YouTube,T06,T05_S0
YouTube::@Ecos_Criminales,T06_P1,6,157,3,12.5,1,24,YouTube,T14,T14_S1
YouTube::@ElMacabeo72,T06_P1,6,158,3,42.9,1,7,YouTube,T06,T06_S11
YouTube::@DianaArriaga-e7k,T06_P1,6,159,3,50.0,2,6,YouTube,T06,T06_S5
YouTube::@CelinaRomanGonzalez-iu2zd,T06_P1,6,160,3,33.3,3,9,YouTube,T06,T20_S1
YouTube::@ArelyAntonietaVillamarFlores,T06_P1,6,161,3,50.0,1,6,YouTube,T06,T06_S9
YouTube::@AdalidSolano,T06_P1,6,162,3,33.3,1,9,YouTube,T06,T06_S8
YouTube::@AldoantonioRochamar-pm5wz,T06_P1,6,163,3,60.0,1,5,YouTube,T06,T08_S6
YouTube::@AmeliaMendoza-y5z,T06_P1,6,164,3,50.0,2,6,YouTube,T06,T06_S4
Twitter::@rojasal07,T06_P1,6,165,3,27.3,1,11,Twitter,T06,T03_S5
YouTube::@CandidoRubioSuarez,T06_P1,6,166,3,25.0,2,12,YouTube,T06,T06_S0
