id_global,tema_id,sub_id,hex_color,n_palabras,n_aristas,densidad,peso_total,nombre_subtema
T23_S09,23,9,#bcbd22,6,11,0.733,35.0,"Litro, tanque, carro, descarrilamiento"
T24_S00,24,0,#17becf,5,9,0.9,94.0,"Pais, mexicano, cualquiera, etc"
T24_S01,24,1,#17becf,11,33,0.6,79.0,"Social, ciudadano, contribuir, movilidad"
T24_S02,24,2,#17becf,13,38,0.487,76.0,"Programa, universidad, carrera, impacto"
T24_S03,24,3,#17becf,11,30,0.545,54.0,"Viajar, acceso, ingreso, pasajero"
T24_S04,24,4,#17becf,7,13,0.619,50.0,"Destacar, turismo, reconocimiento, riqueza"
T24_S05,24,5,#17becf,6,11,0.733,33.0,"Servicio, acercar, promocion, orientacion"
T24_S06,24,6,#17becf,7,13,0.619,33.0,"Miguel, incluir, boleto, fundamental"
T24_S07,24,7,#17becf,5,8,0.8,14.0,"Superior, jefe, armando, alma"
T24_S08,24,8,#17becf,4,4,0.667,11.0,"Documento, paulo, monsivais, localjueves"
T24_S09,24,9,#17becf,3,3,1.0,6.0,"Organizacion, especialmente, insumo"
