id_global,tema_id,sub_id,nombre_subtema,resumen_subtema,top_terminos,n_palabras,n_aristas,densidad,peso_total
T34_S00,34,0,"Alcalde, martinez, armando, erasmo","Subtema T34.S00 centrado en alcalde, martinez, armando, erasmo, robledo, manriquez; conecta tambien segura, alcaldesar, participe.","alcalde, martinez, armando, erasmo, robledo, manriquez, segura, alcaldesar, participe",9,30,0.833,635.0
T34_S01,34,1,"Publico, recurso, utilizar, servidor","Subtema T34.S01 centrado en publico, recurso, utilizar, servidor, milenio, semaforo; conecta tambien destinar, evaluacion, disenar, obrera, sexta, recolectar.","publico, recurso, utilizar, servidor, milenio, semaforo, destinar, evaluacion, disenar, obrera, sexta, recolectar",12,36,0.545,365.0
T34_S02,34,2,"Politico, ciudadano, marcha, lujo","Subtema T34.S02 centrado en politico, ciudadano, marcha, lujo, convocar, pegar; conecta tambien respectivo, prd, masa, narrar, aburrido, ancho.","politico, ciudadano, marcha, lujo, convocar, pegar, respectivo, prd, masa, narrar, aburrido, ancho",16,46,0.383,360.0
T34_S03,34,3,"Secretario, carlos, hernandez, juan","Subtema T34.S03 centrado en secretario, carlos, hernandez, juan, salinas, vera; conecta tambien vicealmirante, vargas, valdez, tovar, cosplay.","secretario, carlos, hernandez, juan, salinas, vera, vicealmirante, vargas, valdez, tovar, cosplay",11,37,0.673,345.0
T34_S04,34,4,"Prueba, ladron, suficiente, preferir","Subtema T34.S04 centrado en prueba, ladron, suficiente, preferir, ejercer, oficialmente; conecta tambien tamayo, compliz, profesion, colega.","prueba, ladron, suficiente, preferir, ejercer, oficialmente, tamayo, compliz, profesion, colega",10,25,0.556,88.0
T34_S05,34,5,"Linea, analisis, seguimiento, preparado","Subtema T34.S05 centrado en linea, analisis, seguimiento, preparado, prometer, enriquecer; conecta tambien ecosistema, antecedente, tabasqueno.","linea, analisis, seguimiento, preparado, prometer, enriquecer, ecosistema, antecedente, tabasqueno",9,23,0.639,59.0
T34_S07,34,7,"Considerar, diaz, musico","Subtema T34.S07 centrado en considerar, diaz, musico.","considerar, diaz, musico",3,3,1.0,18.0
T34_S08,34,8,"Alejandro, zuniga, cooperacion","Subtema T34.S08 centrado en alejandro, zuniga, cooperacion.","alejandro, zuniga, cooperacion",3,3,1.0,13.0
T35_S00,35,0,"Mandar, julio, articulo, noticias","Subtema T35.S00 centrado en mandar, julio, articulo, noticias, chavez.","mandar, julio, articulo, noticias, chavez",5,9,0.9,345.0
T35_S01,35,1,"Ana, cancun, peralta, reflexion","Subtema T35.S01 centrado en ana, cancun, peralta, reflexion, paty, pintura; conecta tambien brigada, novio, beatriz, eugenia.","ana, cancun, peralta, reflexion, paty, pintura, brigada, novio, beatriz, eugenia",10,20,0.444,142.0
