usuario,posicion_id,tema_id,rank_en_posicion,conteo_tema,pct_usuario_en_tema,n_msgs,n_palabras,plataformas,tema_dominante,sub_dominante
Twitter::@z441r4,T09_P1,9,28,3,17.6,3,17,Twitter,T09,T13_S1
YouTube::@100AMLOS,T09_P1,9,29,3,30.0,4,10,YouTube,T09,T09_S0
Facebook::Lupita Ortiz Casanova,T09_P1,9,30,3,60.0,4,5,Facebook,T09,T09_S4
Twitter::@333v4l,T09_P1,9,31,3,50.0,2,6,Twitter,T09,T11_S4
YouTube::@EngordaElprofe,T09_P1,9,32,3,37.5,1,8,YouTube,T09,T09_S0
YouTube::@EmilioRubio-i9r,T09_P1,9,33,3,60.0,1,5,YouTube,T09,T10_S3
YouTube::@APRENDIENDOCONOCIENDOYENSE-h6d,T09_P1,9,34,3,21.4,1,14,YouTube,T12,T09_S0
Twitter::@MennyValdz,T09_P1,9,35,3,15.0,3,20,Twitter,T12,T09_S0
YouTube::@OliviaMartinez-f2n,T09_P1,9,36,3,15.8,3,19,YouTube,T11,T11_S3
YouTube::@Ricardo-m7v8y,T09_P1,9,37,3,37.5,1,8,YouTube,T09,T09_S0
YouTube::@ednamarcelagonzalez9636,T09_P1,9,38,3,42.9,1,7,YouTube,T11,T11_S1
YouTube::@danielmeza130,T09_P1,9,39,3,16.7,1,18,YouTube,T11,T11_S0
YouTube::@chayitochomi3933,T09_P1,9,40,3,15.0,1,20,YouTube,T11,T06_S2
YouTube::@alejandramora950,T09_P1,9,41,3,20.0,2,15,YouTube,T12,T12_S0
YouTube::@alejandrojuarez1524,T09_P1,9,42,3,42.9,1,7,YouTube,T09,T09_S0
YouTube::@RicardoMartinez-iy9md,T09_P1,9,43,3,27.3,1,11,YouTube,T11,T09_S0
YouTube::@SamuelG-k2h,T09_P1,9,44,3,18.8,1,16,YouTube,T11,T11_S1
YouTube::@ags5941,T09_P1,9,45,3,33.3,1,9,YouTube,T09,T08_S2
YouTube::@LuisAntonioGonzálezGil666,T09_P1,9,46,3,20.0,1,15,YouTube,T12,T12_S1
YouTube::@maybarnu,T09_P1,9,47,3,25.0,2,12,YouTube,T12,T09_S0
YouTube::@erveylopez9518,T09_P1,9,48,3,42.9,1,7,YouTube,T09,T09_S0
YouTube::@marthaledesma6356,T09_P1,9,49,3,37.5,1,8,YouTube,T09,T09_S0
YouTube::@octaviodiaz3425,T09_P1,9,50,3,23.1,1,13,YouTube,T09,T09_S0
YouTube::@pakoturunen5429,T09_P1,9,51,3,60.0,1,5,YouTube,T09,T09_S0
YouTube::@rebeckacampbell2782,T09_P1,9,52,3,13.6,1,22,YouTube,T10,T09_S4
YouTube::@ragnarfire3229,T09_P1,9,53,3,21.4,1,14,YouTube,T11,T11_S0
Facebook::Marisela Gomez,T09_P2,9,1,13,48.1,1,27,Facebook,T09,T09_S1
YouTube::@sonadorvajo,T09_P2,9,2,9,18.0,1,50,YouTube,T11,T09_S2
Facebook::Clara M. Lerma,T09_P2,9,3,6,33.3,2,18,Facebook,T09,T09_S1
YouTube::@gabyolmeda8756,T09_P2,9,4,6,33.3,1,18,YouTube,T09,T11_S4
Facebook::Paris Sodi Ramos,T09_P2,9,5,5,21.7,1,23,Facebook,T03,T03_S1
Facebook::BanRo Lupis,T09_P2,9,6,5,45.5,1,11,Facebook,T09,T09_S1
YouTube::@ALXPARTANATTITUDE,T09_P2,9,7,4,21.1,1,19,YouTube,T12,T04_S1
YouTube::@marilugonzalez2994,T09_P2,9,8,4,28.6,1,14,YouTube,T09,T09_S0
Twitter::@ElStandardDeTam,T09_P2,9,9,4,26.7,1,15,Twitter,T09,T09_S1
Facebook::Bety Ponce,T09_P2,9,10,4,30.8,1,13,Facebook,T09,T09_S1
Facebook::Magdalena Huerta,T09_P2,9,11,3,33.3,1,9,Facebook,T09,T09_S0
Facebook::Ismael Esqueda,T09_P2,9,12,3,30.0,1,10,Facebook,T09,T09_S1
Facebook::Edmundo RD,T09_P2,9,13,3,23.1,2,13,Facebook,T07,T07_S0
Facebook::Ángeles Solano Quiroga,T09_P2,9,14,3,50.0,2,6,Facebook,T09,T09_S1
Twitter::@danielberl3,T09_P2,9,15,3,23.1,2,13,Twitter,T06,T06_S1
