palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
exceso,3,-1,broker,0.625,1.4361,4
bendecir,3,3,periferico,0.0,-1.0948,1
ajeno,3,-1,periferico,0.0,-0.6963,1
tonto,3,-1,periferico,0.0,-0.6963,1
simio,3,-1,broker,0.6667,1.4361,3
idiota,3,3,broker,0.5,-1.0948,2
cdvictoria,2,0,broker,0.8016,0.6003,42
tamaulipas,2,0,broker,0.845,1.5827,80
matamoros,2,0,broker,0.6016,1.5827,25
reynosa,2,0,broker,0.6848,1.0915,25
altamira,2,0,broker,0.7493,1.0915,33
nuevolaredo,2,0,periferico,0.482,1.0915,19
madero,2,0,broker,0.7705,0.3547,29
cdmadero,2,0,broker,0.5139,-0.1364,12
aplicar,2,2,periferico,0.322,1.913,21
reglamento,2,2,broker,0.5035,1.702,24
lópez,2,3,broker,0.66,1.2579,20
obrador,2,3,broker,0.5391,1.2579,16
regla,2,2,conector_provincial,0.4184,2.757,28
ridículo,2,2,periferico,0.4272,1.913,23
ciudadvictoria,2,0,periferico,0.4028,0.1091,12
fiscal,2,3,broker,0.62,-0.0886,10
huachicol,2,3,broker,0.5263,2.2677,19
monterrey,2,4,broker,0.6465,1.8332,23
coahuila,2,4,broker,0.7188,0.2157,16
ciudadmadero,2,0,periferico,0.4298,-0.1364,11
buscar,2,1,broker,0.5833,0.2637,12
cdmx,2,4,broker,0.6848,0.7548,21
guadalajara,2,4,broker,0.5917,0.7548,13
andy,2,3,periferico,0.46,0.5846,10
roberto,2,2,periferico,0.4167,0.2251,12
comentario,2,5,broker,0.635,2.4254,20
participar,2,5,broker,0.7826,1.6371,23
paz,2,1,broker,0.7266,0.2637,17
beltrán,2,3,broker,0.6562,-0.4252,8
gordo,2,3,periferico,0.42,0.5846,10
pez,2,3,periferico,0.4444,-0.4252,6
ganador,2,5,broker,0.56,-0.3335,5
justicia,2,1,broker,0.7426,1.3937,26
riobravo,2,0,periferico,0.0,-0.8732,5
dejar,2,1,conector_provincial,0.7524,3.0888,46
jugador,2,2,periferico,0.3945,1.069,17
árbitro,2,2,periferico,0.1653,0.4361,11
pánuco,2,1,broker,0.6953,0.2637,16
puebla,2,4,broker,0.6735,0.7548,14
vallehermoso,2,0,periferico,0.0,-0.1364,8
lopez,2,3,broker,0.6311,0.9213,15
defender,2,2,broker,0.5417,-0.1969,12
slp,2,4,periferico,0.4734,-0.3235,13
información,2,1,broker,0.7882,-0.0188,24
millón,2,3,broker,0.7083,-0.0886,12
inversión,2,1,broker,0.6111,-0.8664,6
pumas,2,2,broker,0.5802,0.6471,18
hijo,2,3,broker,0.7059,0.5846,17
